df_index,Age_Group_code,Age Group,Gender_code,Gender,college_code,College Name,Degree ,Subject,Percent_10,Favorite_Subject_10,Marks_10,Percent_12,Favorite_Subject_12,Marks_12,CGPA,co-curricular activity,profession,preffed sector,Age,Expected_salary,Financially constrained_coded,Financially constrained,Family_income_coded,Family_income,Parent's occupation,Spending,parents_influence,friend_influence,mentor_influence,social_expectations,social_media_influence,personal_choice,family_income
0,19.0,18 - 20,-1,f,22,institute of engineering and management,bba,analytics,85.0,biology,97.0,75.0,biology,99.0,8.0,no,data analyst,,0.0,,2,maybe,1,3 -  7  lakhs,Unknown,,3,1,1,1,1,5,3 -  7  lakhs
1,21.0,20 - 22,-1,f,22,institute of engineering and management,bba,finance,85.0,mathematics,99.0,75.0,economics,80.0,9.0,content writing ,financial services,government/public sector,28.0,3.5,2,maybe,3,10 - 12 lakhs,Government Job,10.0,4,1,3,4,2,2,10 - 12 lakhs
2,19.0,18 - 20,-1,f,4,asutosh college,b.sc / bs,statistics,85.0,mathematics,98.0,85.0,mathematics,86.0,6.0,dance,chartered accountant,undecided,25.0,8.0,2,maybe,1,3 -  7  lakhs,Business,2.5,5,2,4,3,1,4,3 -  7  lakhs
3,19.0,18 - 20,-1,f,40,sister nivedita university,ba,political science,95.0,socialscience,94.0,85.0,politicalscience,87.0,7.0,not right now ,entrepreneurship,corporate/private sector,0.0,2.0,1,yes,1,3 -  7  lakhs,Business,,4,5,5,5,5,4,3 -  7  lakhs
4,21.0,20 - 22,-1,f,40,sister nivedita university,msc / ms,psychology,65.0,maths,60.0,65.0,accounts,65.0,7.0,no,chartered accountant,it secrtor,27.0,0.5,2,maybe,1,3 -  7  lakhs,Business,10.0,3,1,1,4,3,5,3 -  7  lakhs
5,21.0,20 - 22,-1,f,40,sister nivedita university,ma,english,75.0,english,81.0,75.0,english,87.0,6.0,dance ,chartered accountant,n.q.,28.0,6.0,0,no,1,3 -  7  lakhs,Finance,1.0,5,5,5,4,4,5,3 -  7  lakhs
6,21.0,20 - 22,-1,f,40,sister nivedita university,ma,english,55.0,english,82.0,65.0,english,72.0,8.0,no,professor,academia/education,28.5,3.5,2,maybe,0,below 3 lakhs,Business,,1,1,1,5,1,5,below 3 lakhs
7,21.0,20 - 22,-1,f,40,sister nivedita university,ma,english,75.0,english,82.0,85.0,english,88.0,6.0,no,professor,it secrtor,25.0,13.0,0,no,0,below 3 lakhs,Business,2.0,5,1,2,3,2,4,below 3 lakhs
8,21.0,20 - 22,-1,f,40,sister nivedita university,ba,english,85.0,science,80.0,75.0,english,80.0,8.0,no,professor,corporate/private sector,25.0,3.5,1,yes,1,3 -  7  lakhs,Other,2.0,5,1,2,5,2,3,3 -  7  lakhs
9,23.5,22 - 25,-1,f,54,university of calcutta,m com.,accountancy,85.0,science,87.0,85.0,accountancy,92.0,8.0,karate,commercial undecideds,government/public sector,0.0,8.5,0,no,1,3 -  7  lakhs,Business,,2,1,3,1,1,5,3 -  7  lakhs
10,19.0,18 - 20,-1,f,12,gokhale memorial girls college,ba,political science,75.0,science ,,65.0,,,6.0,singing ,entrepreneurship,government/public sector,21.0,0.5,1,yes,0,below 3 lakhs,Business,0.5,4,1,1,1,2,3,below 3 lakhs
11,19.0,18 - 20,-1,f,50,techno international,b tech.,computer science and business system,85.0,bengali,95.0,85.0,chemistry,89.0,7.0,"yes , dance",software development engineer,corporate/private sector,30.0,5.0,1,yes,3,10 - 12 lakhs,Government Job,6.5,4,3,2,3,3,3,10 - 12 lakhs
12,19.0,18 - 20,-1,f,50,techno international,b tech.,computer science and business system,85.0,math,80.0,95.0,chemistry,98.0,7.0,dance,entrepreneurship,it secrtor,22.0,5.0,2,maybe,0,below 3 lakhs,Business,2.0,4,4,4,4,3,3,below 3 lakhs
13,21.0,20 - 22,-1,f,50,techno international,b tech.,computer science engineering,75.0,geography,80.0,75.0,chemistry,85.0,6.0,dance ,software development engineer,it secrtor,0.0,5.5,2,maybe,3,10 - 12 lakhs,Business,10.0,5,3,5,5,5,1,10 - 12 lakhs
14,19.0,18 - 20,-1,f,50,techno international,b tech.,computer,85.0,mathematics,81.0,85.0,mathematics,89.0,7.0,no,cyber security,it secrtor,30.0,6.0,1,yes,1,3 -  7  lakhs,Government Job,4.0,3,3,5,3,5,5,3 -  7  lakhs
15,21.0,20 - 22,-1,f,40,sister nivedita university,b.sc / bs,mathematics,85.0,mathematics,91.0,85.0,mathematics,93.0,8.0,painting ,chartered accountant,corporate/private sector,23.5,1.8,2,maybe,1,3 -  7  lakhs,Retired,3.5,1,1,2,1,1,5,3 -  7  lakhs
16,19.0,18 - 20,-1,f,48,tara devi harakh chand kankaria jain college,b.sc / bs,microbiology,95.0,biology,100.0,95.0,psychology,100.0,8.0,,forensic microbiologist,government/public sector,24.5,2.0,1,yes,2,7 - 10 lakhs,Private Job,1.5,5,1,5,4,2,5,7 - 10 lakhs
17,21.0,20 - 22,-1,f,40,sister nivedita university,b.sc / bs,statistics,85.0,mathematics,91.0,85.0,mathematics,85.0,6.0,dance ,data analyst,it secrtor,29.0,5.5,2,maybe,1,3 -  7  lakhs,Business,5.5,5,1,5,3,2,4,3 -  7  lakhs
18,19.0,18 - 20,-1,f,40,sister nivedita university,ba,english,75.0,english,68.0,65.0,english,65.0,5.0,no,professor,corporate/private sector,23.0,2.0,2,maybe,1,3 -  7  lakhs,Business,7.5,5,1,4,4,5,4,3 -  7  lakhs
19,19.0,18 - 20,-1,f,2,adamas university,b tech.,biotechnology,95.0,mathematics,99.0,85.0,mathematics,92.0,9.0,"drawing, drawing, singing ",biotech industry,healthcare sector,25.0,3.0,1,yes,0,below 3 lakhs,Legal Sector,4.0,4,2,3,1,2,4,below 3 lakhs
20,21.0,20 - 22,-1,f,11,dr sudhir chandra sur institute of technology and sports complex,b tech.,computer science engineering,85.0,science,94.0,85.0,biology,96.0,8.0,dance.,web developer,it secrtor,24.0,5.0,2,maybe,1,3 -  7  lakhs,Government Job,4.0,1,3,4,1,1,1,3 -  7  lakhs
21,19.0,18 - 20,-1,f,39,shri shikshayatan college,ba,journalism and mass communication,85.0,english,85.0,85.0,english,89.0,7.0,theatre ,journalist,corporate/private sector,30.0,2.0,2,maybe,1,3 -  7  lakhs,Government Job,1.0,1,1,1,1,1,5,3 -  7  lakhs
22,21.0,20 - 22,-1,f,17,iiest shibpur,b tech.,electrical engineering,95.0,mathematics,100.0,95.0,maths,100.0,8.0,,entrepreneurship,corporate/private sector,28.0,20.0,1,yes,5,15 lakhs above,Business,15.0,5,2,5,5,3,1,15 lakhs above
23,21.0,20 - 22,-1,f,30,maulana azad college,b.sc / bs,statistics,95.0,mathematics,92.0,95.0,mathematics,97.0,7.0,art,data analyst,government/public sector,25.0,10.0,2,maybe,1,3 -  7  lakhs,Government Job,,5,1,5,1,1,5,3 -  7  lakhs
24,21.0,20 - 22,-1,f,46,surendranath college,b.sc / bs,statistics,95.0,mathematics ,,95.0,,,8.0,gaming ,data analyst,it secrtor,30.0,3.5,2,maybe,0,below 3 lakhs,Homemaker,2.5,3,3,4,4,4,5,below 3 lakhs
25,19.0,18 - 20,-1,f,14,gurudas college,b.sc / bs,microbiology,85.0,biology,90.0,85.0,biology,86.0,0.0,"yes, drawing",researcher,government/public sector,0.0,6.0,1,yes,1,3 -  7  lakhs,Health Sector,1.0,5,1,3,1,5,5,3 -  7  lakhs
26,23.5,22 - 25,-1,f,54,university of calcutta,llb,,95.0,biology,96.0,85.0,economics,98.0,9.0,,cs,corporate/private sector,30.0,4.5,0,no,1,3 -  7  lakhs,Business,2.5,4,5,1,3,2,5,3 -  7  lakhs
28,21.0,20 - 22,-1,f,40,sister nivedita university,ba,english,55.0,english,56.0,75.0,english,82.0,6.0,dancing ,chartered accountant,corporate/private sector,25.5,5.0,2,maybe,2,7 - 10 lakhs,Government Job,2.5,1,5,1,3,5,5,7 - 10 lakhs
30,21.0,20 - 22,-1,f,40,sister nivedita university,ba,english,55.0,english,57.0,65.0,english,64.0,4.0,no,entrepreneurship,corporate/private sector,25.0,0.5,2,maybe,2,7 - 10 lakhs,Business,3.0,3,3,3,3,3,3,7 - 10 lakhs
31,19.0,18 - 20,-1,f,22,institute of engineering and management,bba,marketing,85.0,english,85.0,85.0,english,90.0,8.0,,graphics designing,undecided,25.0,5.0,0,no,4,12 - 15 lakhs,Business,2.0,3,3,3,3,3,3,12 - 15 lakhs
32,21.0,20 - 22,-1,f,4,asutosh college,b.sc / bs,statistics,95.0,mathematics,100.0,95.0,mathematics,96.0,8.0,dance,statistician statistics related fields,corporate/private sector,24.0,8.5,0,no,3,10 - 12 lakhs,Business,2.0,4,1,2,1,1,5,10 - 12 lakhs
33,19.0,18 - 20,-1,f,40,sister nivedita university,ba,english,65.0,lifescience,76.0,75.0,english,72.0,6.0,no,chartered accountant,corporate/private sector,22.0,2.75,2,maybe,0,below 3 lakhs,Business,,4,3,3,3,2,3,below 3 lakhs
34,19.0,18 - 20,-1,f,28,loreto college,ba,history,95.0,history,93.0,95.0,history,100.0,6.0,"music, dance, fashion, head of a college society currently",administration,government/public sector,25.0,1.0,2,maybe,0,below 3 lakhs,Business,,5,5,5,4,2,5,below 3 lakhs
35,19.0,18 - 20,-1,f,40,sister nivedita university,ba,english,75.0,english,78.0,85.0,english,90.0,7.0,,professor,undecided,23.5,3.6,2,maybe,1,3 -  7  lakhs,Business,,3,1,1,1,1,4,3 -  7  lakhs
36,19.0,18 - 20,-1,f,49,techno india university,b tech.,computer science engineering,95.0,mathematics,97.0,85.0,english,93.0,9.0,no,engineer,it secrtor,0.0,8.5,0,no,1,3 -  7  lakhs,Teaching,,3,3,3,3,2,3,3 -  7  lakhs
37,21.0,20 - 22,-1,f,12,gokhale memorial girls college,ba,english,95.0,english,98.0,95.0,english,96.0,7.0,dancing and singing,investment banker,it secrtor,28.0,3.9,1,yes,5,15 lakhs above,Other,0.0,3,1,1,4,1,3,15 lakhs above
38,19.0,18 - 20,-1,f,6,calcutta girls high college,llb,,95.0,english,96.0,95.0,english,96.0,9.0,"yes, debates and moot courts.",lawyer,corporate/private sector,32.0,12.0,2,maybe,1,3 -  7  lakhs,Business,3.5,5,2,5,5,4,5,3 -  7  lakhs
39,21.0,20 - 22,-1,f,45,st xaviers university,llb,,95.0,mathematics,96.0,95.0,mathematics,95.0,7.0,"singing, recitation, painting",lawyer,corporate/private sector,25.0,10.0,0,no,5,15 lakhs above,Legal Sector,10.0,3,1,1,2,1,5,15 lakhs above
40,19.0,18 - 20,-1,f,27,kusum devi sunderlal dugar jain dental college,bds,,95.0,biology,94.0,85.0,biology,80.0,0.0,dance,doctor,government/public sector,27.0,4.2,2,maybe,1,3 -  7  lakhs,Business,15.0,5,4,4,3,5,5,3 -  7  lakhs
41,21.0,20 - 22,-1,f,40,sister nivedita university,b.sc / bs,statistics,85.0,geography,92.0,85.0,geography,89.0,8.0,playing instrument (specifically guitar) and drawing.,undecided,it secrtor,27.0,11.0,2,maybe,2,7 - 10 lakhs,Private Job,10.0,4,3,3,3,3,4,7 - 10 lakhs
42,21.0,20 - 22,-1,f,49,techno india university,b tech.,food technology,85.0,maths,87.0,85.0,biology,88.0,7.0,football ,food technologist,corporate/private sector,25.0,6.5,0,no,4,12 - 15 lakhs,Government Job,7.0,5,1,3,5,5,1,12 - 15 lakhs
43,19.0,18 - 20,-1,f,48,tara devi harakh chand kankaria jain college,b.sc / bs,microbiology,85.0,biology,97.0,85.0,biology,90.0,6.0,karate,professor,government/public sector,26.0,3.0,0,no,1,3 -  7  lakhs,Finance,,2,1,5,1,1,5,3 -  7  lakhs
44,21.0,20 - 22,-1,f,31,narasinha dutt college,b.sc / bs,mathematics,85.0,geography,95.0,75.0,mathematics,63.0,6.0,singing ,chartered accountant,government/public sector,24.0,6.0,1,yes,0,below 3 lakhs,Retired,1.5,4,4,2,3,1,5,below 3 lakhs
45,21.0,20 - 22,-1,f,1,acharya jagadish chandra bose college,b.sc / bs,mathematics,85.0,bengali,85.0,85.0,bengali,94.0,6.0,singing ,researcher,it secrtor,25.0,9.0,2,maybe,1,3 -  7  lakhs,Private Job,4.5,5,4,5,1,5,5,3 -  7  lakhs
46,19.0,18 - 20,-1,f,40,sister nivedita university,b.sc / bs,statistics,95.0,mathematics,95.0,85.0,mathematics,90.0,0.0,"yes , dance ",researcher,it secrtor,25.0,2.4,0,no,0,below 3 lakhs,Business,5.0,3,1,2,5,5,5,below 3 lakhs
47,19.0,18 - 20,-1,f,40,sister nivedita university,b.sc / bs,statistics,85.0,english,93.0,75.0,english,90.0,0.0,no,entrepreneurship,government/public sector,25.5,11.0,1,yes,1,3 -  7  lakhs,Government Job,7.5,3,1,1,1,2,4,3 -  7  lakhs
48,21.0,20 - 22,-1,f,24,jadavpur university,ba,english,95.0,biology,96.0,85.0,biology,93.0,7.0,"recitation, chess and drama",professor,it secrtor,25.0,18.0,0,no,4,12 - 15 lakhs,Government Job,10.0,2,3,3,3,3,4,12 - 15 lakhs
50,19.0,18 - 20,-1,f,24,jadavpur university,b.sc / bs,mathematics,85.0,mathematics,99.0,85.0,mathematics,99.0,8.0,no,banker,government/public sector,25.0,10.0,0,no,1,3 -  7  lakhs,Finance,2.0,5,5,5,1,4,5,3 -  7  lakhs
51,19.0,18 - 20,-1,f,9,dayananda sagar college of engineering,b tech.,computer science engineering,75.0,english,92.0,75.0,english,87.0,0.0,,mba,corporate/private sector,24.0,15.0,2,maybe,3,10 - 12 lakhs,Government Job,5.0,3,4,2,3,2,4,10 - 12 lakhs
53,19.0,18 - 20,-1,f,49,techno india university,bba,management,65.0,english,84.0,85.0,history,88.0,0.0,dance,human resource,corporate/private sector,25.0,4.0,0,no,3,10 - 12 lakhs,Government Job,3.5,5,4,4,1,1,1,10 - 12 lakhs
54,19.0,18 - 20,-1,f,40,sister nivedita university,b.sc / bs,statistics,85.0,mathematics,85.0,75.0,mathematics,70.0,0.0,,chartered accountant,corporate/private sector,30.0,4.0,0,no,1,3 -  7  lakhs,Private Job,4.0,5,4,5,3,3,5,3 -  7  lakhs
56,21.0,20 - 22,-1,f,22,institute of engineering and management,bba,finance,85.0,mathematics,96.0,95.0,accountancy,92.0,9.0,,accountent,it secrtor,22.0,3.35,1,yes,1,3 -  7  lakhs,Business,4.0,1,1,1,2,3,2,3 -  7  lakhs
57,19.0,18 - 20,-1,f,24,jadavpur university,ba,english,95.0,biology,100.0,95.0,mathematics,95.0,7.0,painting ,entrepreneurship,corporate/private sector,32.0,9.0,2,maybe,1,3 -  7  lakhs,Business,3.5,3,3,3,3,3,4,3 -  7  lakhs
58,21.0,20 - 22,-1,f,35,presidency university,b.sc / bs,life sciences,85.0,biology,85.0,95.0,biology,99.0,7.0,"dance , painting , drama ",entrepreneurship,corporate/private sector,26.5,11.0,2,maybe,4,12 - 15 lakhs,Government Job,20.0,5,5,4,5,1,5,12 - 15 lakhs
59,21.0,20 - 22,-1,f,55,university of engineering and management,bba,management,85.0,mathematics,96.0,65.0,mathematics,68.0,9.0,leadership roles,data analyst,it secrtor,25.0,3.5,1,yes,2,7 - 10 lakhs,Business,4.0,3,3,1,2,4,2,7 - 10 lakhs
60,23.5,22 - 25,-1,f,39,shri shikshayatan college,m com.,accountancy,75.0,english,70.0,75.0,businessstudies,77.0,0.0,painting ,professor,academia/education,25.0,4.0,0,no,0,below 3 lakhs,Retired,1.0,4,2,5,2,2,5,below 3 lakhs
61,19.0,18 - 20,-1,f,41,sivnath sastri college,b com.,accountancy,85.0,mathematics,89.0,85.0,mathematics,80.0,8.0,dance,tax analyst,corporate/private sector,29.0,4.5,0,no,2,7 - 10 lakhs,Government Job,3.5,3,2,1,2,1,4,7 - 10 lakhs
62,19.0,18 - 20,-1,f,26,jogesh chandra chowdhury law college,llb,,65.0,geography,75.0,85.0,politicalscience,99.0,7.0,,lawyer,government/public sector,25.0,2.0,1,yes,1,3 -  7  lakhs,Government Job,1.0,5,5,3,1,1,4,3 -  7  lakhs
63,23.5,22 - 25,-1,f,29,maharaja manindra chandra college,ba,english,95.0,english,96.0,95.0,english,94.0,7.0,kabaddi ,data analytics,corporate/private sector,28.0,10.0,0,no,5,15 lakhs above,Retired,4.0,5,5,5,1,1,5,15 lakhs above
66,21.0,20 - 22,-1,f,35,presidency university,b.sc / bs,life sciences,95.0,biology,98.0,95.0,biology,95.0,8.0,painting ,marine biologist,it secrtor,30.5,9.6,0,no,4,12 - 15 lakhs,Government Job,3.0,3,1,1,2,5,5,12 - 15 lakhs
67,21.0,20 - 22,-1,f,3,amity university,bfa,animation,65.0,,,55.0,,,6.0,not really ,artificial intelligence,it secrtor,27.0,10.0,1,yes,0,below 3 lakhs,Private Job,,5,3,5,1,4,4,below 3 lakhs
68,19.0,18 - 20,-1,f,53,the west bengal national university of juridical sciences,llb,,95.0,english,90.0,85.0,english,96.0,7.0,dance,lawyer,corporate/private sector,24.0,12.0,0,no,5,15 lakhs above,Teaching,8.5,1,1,1,1,1,5,15 lakhs above
70,19.0,18 - 20,-1,f,4,asutosh college,b.sc / bs,statistics,95.0,maths,90.0,85.0,maths,80.0,7.0,painting,data analyst,corporate/private sector,25.0,,2,maybe,1,3 -  7  lakhs,Business,,3,1,2,1,4,4,3 -  7  lakhs
71,19.0,18 - 20,-1,f,41,sivnath sastri college,b com.,,75.0,bengali,86.0,95.0,accountancy,96.0,7.0,,chartered accountant,corporate/private sector,25.0,6.5,1,yes,1,3 -  7  lakhs,Business,5.0,4,4,5,3,3,3,3 -  7  lakhs
72,19.0,18 - 20,-1,f,34,parul university,bdes,fashion designing,75.0,science,75.0,85.0,commercialart,100.0,0.0,"sports,editing,photography",fashion designing,corporate/private sector,26.0,1.5,2,maybe,3,10 - 12 lakhs,Teaching,12.0,4,3,4,3,2,4,10 - 12 lakhs
73,19.0,18 - 20,-1,f,24,jadavpur university,ba,english,85.0,english,90.0,95.0,english,100.0,7.0,i'm fond of writing poems,chartered accountant,corporate/private sector,26.0,1.8,2,maybe,0,below 3 lakhs,Government Job,5.0,3,2,2,1,1,5,below 3 lakhs
74,21.0,20 - 22,-1,f,42,st pauls cathedral mission college,b.sc / bs,economics,85.0,maths,85.0,85.0,economics,92.0,8.0,swimming,researcher,undecided,0.0,10.0,2,maybe,1,3 -  7  lakhs,Government Job,1.0,5,3,4,3,4,4,3 -  7  lakhs
75,19.0,18 - 20,-1,f,46,surendranath college,b.sc / bs,statistics,85.0,mathematics,97.0,95.0,english,96.0,7.0,yes,data analysis,government/public sector,25.0,12.0,2,maybe,1,3 -  7  lakhs,Private Job,1.5,5,4,5,5,5,5,3 -  7  lakhs
76,21.0,20 - 22,-1,f,3,amity university,ba,political science,85.0,english,82.0,85.0,sociology,85.0,8.0,yoga,researcher,government/public sector,27.0,0.5,1,yes,1,3 -  7  lakhs,Government Job,,4,4,4,3,5,5,3 -  7  lakhs
77,21.0,20 - 22,-1,f,45,st xaviers university,bba,marketing,85.0,history,97.0,95.0,businessstudies,96.0,7.0,not really at present,entrepreneurship,corporate/private sector,33.0,2.04,0,no,1,3 -  7  lakhs,Business,15.0,5,4,3,3,4,2,3 -  7  lakhs
78,19.0,18 - 20,-1,f,4,asutosh college,b.sc / bs,statistics,85.0,lifescience,85.0,85.0,english,91.0,6.0,no,researcher,it secrtor,24.0,,1,yes,1,3 -  7  lakhs,Other,1.0,3,2,2,3,2,2,3 -  7  lakhs
79,19.0,18 - 20,-1,f,19,indian institute of science education and research kolkata,bsms,physics,95.0,english,97.0,85.0,bengali,92.0,8.0,cultural activities(drama and recitation) and sports: football mainly,professor,corporate/private sector,29.5,9.5,2,maybe,2,7 - 10 lakhs,Government Job,5.5,4,2,4,5,4,1,7 - 10 lakhs
80,19.0,18 - 20,-1,f,35,presidency university,b.sc / bs,life sciences,95.0,maths,100.0,95.0,psychology,100.0,10.0,"dancing, drama",researcher,government/public sector,30.0,,1,yes,1,3 -  7  lakhs,Private Job,1.0,1,2,2,2,4,5,3 -  7  lakhs
81,21.0,20 - 22,-1,f,35,presidency university,b.sc / bs,economics,95.0,hindi,98.0,95.0,mathematics,96.0,7.0,badminton ,researcher,undecided,24.0,9.0,0,no,2,7 - 10 lakhs,Government Job,5.0,4,2,2,3,4,4,7 - 10 lakhs
82,23.5,22 - 25,-1,f,37,scottish church college,b.sc / bs,mathematics,95.0,mathematics,99.0,95.0,mathematics,100.0,7.0,"dancing, recitation, drawing ",researcher,it secrtor,25.0,15.0,2,maybe,1,3 -  7  lakhs,Government Job,5.0,2,2,4,1,3,4,3 -  7  lakhs
83,21.0,20 - 22,-1,f,24,jadavpur university,b.sc / bs,geography,95.0,geography,99.0,95.0,chemistry,99.0,7.0,dancing ,administration,adminstative sector,30.0,6.0,0,no,2,7 - 10 lakhs,Teaching,2.5,1,2,3,4,2,5,7 - 10 lakhs
84,19.0,18 - 20,-1,f,44,st xaviers college (autonomous),b.sc / bs,statistics,95.0,maths,100.0,95.0,stats,100.0,9.0,"yes, playing guitar ",researcher,it secrtor,25.0,8.0,0,no,4,12 - 15 lakhs,Business,8.0,5,3,5,3,2,4,12 - 15 lakhs
85,19.0,18 - 20,-1,f,44,st xaviers college (autonomous),b com.,accountancy,95.0,mathematics,99.0,95.0,mathematics,99.0,8.0,nss,chartered accountant,corporate/private sector,27.0,12.0,0,no,3,10 - 12 lakhs,Private Job,8.0,1,1,1,3,2,5,10 - 12 lakhs
86,19.0,18 - 20,-1,f,44,st xaviers college (autonomous),b com.,accountancy,95.0,math,,95.0,,,6.0,nss,chartered accountant,corporate/private sector,25.5,12.5,2,maybe,3,10 - 12 lakhs,Teaching,6.0,2,3,2,4,3,5,10 - 12 lakhs
88,21.0,20 - 22,-1,f,52,the heritage academy,bca,computer application,65.0,history,70.0,85.0,computerapplication,99.0,7.0,sarang welfare society ,web developer,corporate/private sector,25.0,19.0,2,maybe,5,15 lakhs above,Unknown,1.092,5,4,5,2,1,3,15 lakhs above
89,19.0,18 - 20,-1,f,45,st xaviers university,ba,psychology,85.0,english,92.0,95.0,psychology,94.0,0.0,ngos,psychologist,corporate/private sector,24.0,1.0,0,no,5,15 lakhs above,Business,10.0,1,1,1,5,5,5,15 lakhs above
90,19.0,18 - 20,-1,f,45,st xaviers university,ba,psychology,85.0,history,94.0,95.0,history,96.0,7.0,"dance , writing ",human resource,corporate/private sector,25.0,8.0,0,no,3,10 - 12 lakhs,Teaching,,3,1,1,2,1,5,10 - 12 lakhs
91,19.0,18 - 20,-1,f,45,st xaviers university,ba,psychology,85.0,maths,82.0,85.0,psychology,94.0,7.0,fashion walk,psychologist,corporate/private sector,23.5,8.0,0,no,3,10 - 12 lakhs,Business,1.0,3,2,2,1,2,4,10 - 12 lakhs
92,21.0,20 - 22,-1,f,45,st xaviers university,llb,,85.0,english,92.0,75.0,polsc,89.0,7.0,dancing ,judiciary,judiciary ,25.0,20.0,0,no,4,12 - 15 lakhs,Legal Sector,15.0,5,1,2,2,1,5,12 - 15 lakhs
93,19.0,18 - 20,-1,f,45,st xaviers university,ba,english,95.0,english,85.0,85.0,english,85.0,0.0,football,sports,government/public sector,26.5,9.0,1,yes,5,15 lakhs above,Government Job,,1,4,2,5,4,2,15 lakhs above
96,19.0,18 - 20,-1,f,44,st xaviers college (autonomous),msc / ms,integrated msc in biotechnology,95.0,chemistry,89.0,95.0,biology,92.0,8.0,dance,researcher,government/public sector,25.0,10.0,0,no,1,3 -  7  lakhs,Business,1.0,4,2,5,4,3,5,3 -  7  lakhs
