df_index,Age_Group_code,Age Group,Gender_code,Gender,college_code,College Name,Degree ,Subject,Percent_10,Favorite_Subject_10,Marks_10,Percent_12,Favorite_Subject_12,Marks_12,CGPA,co-curricular activity,profession,preffed sector,Age,Expected_salary,Financially constrained_coded,Financially constrained,Family_income_coded,Family_income,Parent's occupation,Spending,parents_influence,friend_influence,mentor_influence,social_expectations,social_media_influence,personal_choice,family_income
97,21.0,20 - 22,1,m,22,institute of engineering and management,b tech.,computer science engineering,85.0,mathematics,96.0,85.0,computer,87.0,7.0,swimming ,software development engineer,it secrtor,32.5,5.0,0,no,4,12 - 15 lakhs,Private Job,,1,1,1,4,5,5,12 - 15 lakhs
99,21.0,20 - 22,1,m,22,institute of engineering and management,bba,management,55.0,history ,,85.0,costingandtaxation,97.0,8.0,,marketing manager,corporate/private sector,25.0,5.0,0,no,3,10 - 12 lakhs,Other,8.0,3,1,1,2,3,3,10 - 12 lakhs
100,21.0,20 - 22,1,m,40,sister nivedita university,b.sc / bs,statistics,95.0,mathematics,98.0,95.0,mathematics,95.0,9.0,football volleyball karate,researcher,corporate/private sector,25.0,15.0,0,no,2,7 - 10 lakhs,Business,6.0,1,4,5,4,2,5,7 - 10 lakhs
101,21.0,20 - 22,1,m,40,sister nivedita university,b.sc / bs,statistics,85.0,maths,95.0,85.0,maths,86.0,7.0,"yes , working in and ngo",data analyst,it secrtor,26.0,6.0,1,yes,4,12 - 15 lakhs,Business,15.0,1,2,5,4,5,1,12 - 15 lakhs
102,21.0,20 - 22,1,m,56,vijaygarh jyotish ray college,msc / ms,microbiology,95.0,science,93.0,85.0,chemistry,75.0,8.0,event management & speaker,professor,academia/education,28.0,10.0,0,no,1,3 -  7  lakhs,Business,3.5,1,1,4,2,1,4,3 -  7  lakhs
103,19.0,18 - 20,1,m,50,techno international,b tech.,english,85.0,math,98.0,75.0,biology,74.0,7.0,yes .... guiterist ,software development engineer,it secrtor,21.0,5.0,2,maybe,3,10 - 12 lakhs,Business,8.0,4,1,2,5,3,4,10 - 12 lakhs
104,19.0,18 - 20,1,m,50,techno international,b tech.,,95.0,physics ,,75.0,,,1.0,no,artificial intelligence,corporate/private sector,23.0,4.0,2,maybe,1,3 -  7  lakhs,Business,20.0,4,3,4,5,3,2,3 -  7  lakhs
105,21.0,20 - 22,1,m,54,university of calcutta,ma,english,85.0,geography,91.0,95.0,biology,96.0,7.0,"martial arts- karate, french language ",undecided,corporate/private sector,32.5,0.23,0,no,1,3 -  7  lakhs,Retired,10.0,3,1,5,1,1,5,3 -  7  lakhs
106,21.0,20 - 22,1,m,40,sister nivedita university,b.sc / bs,agriculture,85.0,biology,91.0,75.0,biology,86.0,8.0,no,entrepreneurship,undecided,22.0,12.0,0,no,1,3 -  7  lakhs,Business,0.1,5,1,5,1,1,5,3 -  7  lakhs
107,19.0,18 - 20,1,m,32,netaji subhash engineering college,b tech.,mathematics,95.0,,,85.0,,,7.0,yes,software development engineer,it secrtor,30.0,5.5,1,yes,0,below 3 lakhs,Government Job,,5,3,3,5,4,3,below 3 lakhs
108,21.0,20 - 22,1,m,22,institute of engineering and management,b tech.,computer science engineering,95.0,computer,93.0,85.0,computer,97.0,8.0,reading,cyber security,it secrtor,30.0,5.5,2,maybe,2,7 - 10 lakhs,Government Job,7.0,4,4,2,1,3,5,7 - 10 lakhs
109,21.0,20 - 22,1,m,50,techno international,b tech.,computer science - artificial intelligence and machine learning,85.0,computer,90.0,85.0,mathematics,85.0,7.0,yea currently am working under traffic management system using ai,web developer,it secrtor,50.0,6.0,0,no,1,3 -  7  lakhs,Legal Sector,5.0,3,4,5,3,5,2,3 -  7  lakhs
110,19.0,18 - 20,1,m,38,seth anandaram jaipuria,b com.,accountancy,75.0,sst,79.0,95.0,bst,100.0,8.0,football ,entrepreneurship,corporate/private sector,32.0,4.0,1,yes,0,below 3 lakhs,Unknown,1.0,1,1,1,1,1,3,below 3 lakhs
111,21.0,20 - 22,1,m,7,calcutta school of tropical medicine,b.sc / bs,medical laboratory technology,95.0,civics,96.0,95.0,mathematics,98.0,7.0,no,researcher,government/public sector,35.0,3.0,0,no,1,3 -  7  lakhs,Business,10.0,5,1,4,5,1,5,3 -  7  lakhs
112,21.0,20 - 22,1,m,44,st xaviers college (autonomous),b.sc / bs,physics,95.0,geography,100.0,95.0,mathematics,100.0,8.0,classical music ( singing),professor,government/public sector,30.0,,2,maybe,1,3 -  7  lakhs,Other,0.5,3,2,4,4,1,5,3 -  7  lakhs
113,21.0,20 - 22,1,m,47,swami vivekanand institute of science and technology,b tech.,electronics and communication,95.0,biology,92.0,85.0,biology,91.0,7.0,singing ,web developer,it secrtor,26.0,4.0,1,yes,0,below 3 lakhs,Business,4.0,4,3,2,4,5,2,below 3 lakhs
114,19.0,18 - 20,1,m,3,amity university,b.sc / bs,⁠computer science - data science ,95.0,maths,95.0,85.0,maths,92.0,9.0,cricket ,data analyst,it secrtor,24.0,8.5,0,no,5,15 lakhs above,Unknown,,5,5,5,4,4,5,15 lakhs above
115,19.0,18 - 20,1,m,3,amity university,b tech.,computer science engineering,95.0,applications,97.0,95.0,computerscience,97.0,8.0,basketball,entrepreneurship,it secrtor,25.0,12.0,1,yes,1,3 -  7  lakhs,Government Job,10.0,3,2,4,3,4,4,3 -  7  lakhs
116,19.0,18 - 20,1,m,55,university of engineering and management,b tech.,computer science engineering,95.0,computerapplications,98.0,95.0,computerapplications,100.0,9.0,,software development engineer,it secrtor,25.0,9.0,0,no,1,3 -  7  lakhs,Business,15.0,2,3,4,2,3,4,3 -  7  lakhs
117,19.0,18 - 20,1,m,22,institute of engineering and management,b tech.,computer science engineering,95.0,computerapplication,99.0,95.0,computerscience,99.0,9.0,"hackathons , fest managments",artificial intelligence,corporate/private sector,25.0,15.0,2,maybe,2,7 - 10 lakhs,Business,15.0,4,3,4,4,2,5,7 - 10 lakhs
118,21.0,20 - 22,1,m,15,heritage college,b com.,finance,95.0,economics ,,85.0,,,7.0,,chattered accountant,undecided,25.0,,2,maybe,3,10 - 12 lakhs,Business,,3,1,2,1,1,4,10 - 12 lakhs
119,19.0,18 - 20,1,m,30,maulana azad college,b.sc / bs,economics,95.0,economics,98.0,95.0,economics,96.0,8.0,football ,undecided,undecided,26.0,,0,no,3,10 - 12 lakhs,Government Job,2.0,3,5,4,2,1,2,10 - 12 lakhs
120,21.0,20 - 22,1,m,30,maulana azad college,b.sc / bs,statistics,95.0,mathematics,97.0,95.0,mathematics,99.0,8.0,,researcher,government/public sector,28.0,9.0,0,no,2,7 - 10 lakhs,Private Job,,4,4,4,4,4,4,7 - 10 lakhs
121,21.0,20 - 22,1,m,14,gurudas college,b.sc / bs,microbiology,85.0,history,82.0,75.0,biology,80.0,6.0,,microbiologist,government/public sector,40.0,3.5,0,no,0,below 3 lakhs,Business,20.0,5,1,5,5,5,5,below 3 lakhs
122,19.0,18 - 20,1,m,42,st pauls cathedral mission college,b.sc / bs,microbiology,85.0,mathematics,96.0,95.0,math,85.0,6.0,football,microbiologist,govt. sector,24.0,6.0,0,no,1,3 -  7  lakhs,Government Job,1.0,1,1,2,5,1,4,3 -  7  lakhs
124,21.0,20 - 22,1,m,37,scottish church college,b.sc / bs,physics,95.0,physics,88.0,85.0,physics,93.0,8.0,"music, combat sports.",researcher,academia/education,30.0,5.5,0,no,1,3 -  7  lakhs,Government Job,1.5,2,1,3,4,1,5,3 -  7  lakhs
126,21.0,20 - 22,1,m,10,dr shyamaprasad mukherjee college,b com.,marketing,85.0,commerce,80.0,75.0,commerce,85.0,6.0,no,entrepreneurship,undecided,28.0,2.0,1,yes,2,7 - 10 lakhs,Business,2.0,1,1,1,1,1,2,7 - 10 lakhs
127,21.0,20 - 22,1,m,46,surendranath college,msc / ms,statistics,75.0,mathematics,90.0,85.0,mathematics,84.0,8.0,no,undecided,government/public sector,26.0,15.0,1,yes,0,below 3 lakhs,Private Job,0.5,5,1,1,4,3,5,below 3 lakhs
128,21.0,20 - 22,1,m,51,the bhawanipur educational society college,b com.,finance,85.0,economics,89.0,85.0,economics,92.0,6.0,playing cricket ,cost  management accountant,corporate/private sector,25.0,9.0,1,yes,1,3 -  7  lakhs,Business,3.0,4,3,2,2,1,5,3 -  7  lakhs
129,19.0,18 - 20,1,m,16,heritage law college,llb,,85.0,bst,89.0,85.0,economics,85.0,7.0,"debate club , moot court ",lawyer,it secrtor,30.0,0.03,0,no,2,7 - 10 lakhs,Business,,1,1,1,1,1,5,7 - 10 lakhs
130,21.0,20 - 22,1,m,51,the bhawanipur educational society college,b com.,accountancy,95.0,economics,94.0,75.0,economics,82.0,6.0,no,entrepreneurship,corporate/private sector,26.0,12.0,2,maybe,2,7 - 10 lakhs,Government Job,4.5,4,3,5,1,1,3,7 - 10 lakhs
131,19.0,18 - 20,1,m,46,surendranath college,b.sc / bs,statistics,85.0,mathematics,95.0,85.0,mathematics,85.0,6.0,,consultant analyst,corporate/private sector,30.0,8.0,0,no,3,10 - 12 lakhs,Teaching,3.0,1,2,4,5,3,5,10 - 12 lakhs
132,21.0,20 - 22,1,m,30,maulana azad college,b.sc / bs,statistics,95.0,mathematics,95.0,95.0,statistics,95.0,9.0,recitation ,chartered accountant,government/public sector,30.0,7.5,2,maybe,0,below 3 lakhs,Business,2.0,4,4,5,2,1,4,below 3 lakhs
133,21.0,20 - 22,1,m,32,netaji subhash engineering college,bca,computer application,85.0,science,85.0,75.0,science,80.0,7.0,football ,modeling,it secrtor,28.0,5.5,0,no,3,10 - 12 lakhs,Business,10.0,3,1,3,3,3,3,10 - 12 lakhs
134,19.0,18 - 20,1,m,51,the bhawanipur educational society college,b com.,accountancy,75.0,english,90.0,85.0,commerce,90.0,7.0,"football, cricket, event management ",accounts  finance manager,corporate/private sector,32.0,4.0,2,maybe,1,3 -  7  lakhs,Business,2.0,5,3,4,1,1,5,3 -  7  lakhs
135,21.0,20 - 22,1,m,40,sister nivedita university,ba,english,95.0,mathematics,96.0,75.0,english,82.0,7.0,"music, dance, acting ",actor,corporate/private sector,25.0,5.5,0,no,2,7 - 10 lakhs,Business,4.5,4,5,4,4,1,4,7 - 10 lakhs
137,21.0,20 - 22,1,m,40,sister nivedita university,b.sc / bs,biotechnology,95.0,mathematics,100.0,85.0,biology,88.0,7.0,guitarist,professor,government/public sector,26.0,15.0,1,yes,5,15 lakhs above,Government Job,4.0,4,4,3,3,3,3,15 lakhs above
138,19.0,18 - 20,1,m,49,techno india university,b.sc / bs,data visualization,65.0,computer,82.0,75.0,economics,85.0,7.0,no,researcher,corporate/private sector,25.0,1.0,0,no,1,3 -  7  lakhs,Government Job,1.0,3,4,3,2,2,5,3 -  7  lakhs
139,19.0,18 - 20,1,m,22,institute of engineering and management,bba,,95.0,geography,97.0,75.0,costingandtaxation,90.0,8.0,no,entrepreneurship,corporate/private sector,28.0,8.5,1,yes,2,7 - 10 lakhs,Business,6.0,3,2,3,4,3,2,7 - 10 lakhs
140,19.0,18 - 20,1,m,24,jadavpur university,b tech.,,95.0,biology,97.0,85.0,bio,97.0,6.0,"music,acting",engineeringmodel,corporate/private sector,26.0,10.0,0,no,3,10 - 12 lakhs,Homemaker,,3,4,2,3,3,3,10 - 12 lakhs
141,21.0,20 - 22,1,m,32,netaji subhash engineering college,b tech.,biomedical engineering,95.0,chemistry,98.0,85.0,chemistry,80.0,8.0,"mma, athletes, marathons, debate",entrepreneurship,academia/education,30.0,10.0,0,no,5,15 lakhs above,Teaching,20.0,1,1,1,1,5,5,15 lakhs above
142,21.0,20 - 22,1,m,20,indian institutes of technology madras,b.sc / bs,⁠computer science - data science ,85.0,informationtechnology,85.0,85.0,english,84.0,7.0,,entrepreneurship,corporate/private sector,23.0,10.0,2,maybe,0,below 3 lakhs,Business,5.0,2,1,5,2,2,4,below 3 lakhs
143,21.0,20 - 22,1,m,45,st xaviers university,llb,constitutional matters,85.0,english,94.0,95.0,politicalscience,97.0,7.0,,lawyer,it secrtor,35.0,0.75,2,maybe,0,below 3 lakhs,Other,7.0,3,1,3,5,2,4,below 3 lakhs
144,21.0,20 - 22,1,m,40,sister nivedita university,b.sc / bs,statistics,85.0,marks,95.0,75.0,maths,92.0,6.0,quiz,analysts,corporate/private sector,35.0,4.5,0,no,1,3 -  7  lakhs,Private Job,2.0,4,3,2,4,5,3,3 -  7  lakhs
145,23.5,22 - 25,1,m,2,adamas university,b.sc / bs,pharmacology,85.0,mathematics,92.0,85.0,,,9.0,karate,pharmacist,government/public sector,26.0,11.0,0,no,2,7 - 10 lakhs,Government Job,15.0,4,2,5,3,4,5,7 - 10 lakhs
146,19.0,18 - 20,1,m,13,govt college of engineering and leather technology,b tech.,,95.0,mathematics,97.0,85.0,mathematics,93.0,0.0,"painting, debate, recitation, athletics",software development engineer,it secrtor,25.0,7.0,0,no,1,3 -  7  lakhs,Retired,5.0,3,2,3,4,2,4,3 -  7  lakhs
147,19.0,18 - 20,1,m,30,maulana azad college,b com.,economics,85.0,bengali,85.0,75.0,english,75.0,5.0,no,watchman,others,19.0,15.0,0,no,0,below 3 lakhs,Unknown,1.0,1,1,1,1,1,1,below 3 lakhs
148,19.0,18 - 20,1,m,8,coochbehar government engineering college,b tech.,electronics and communication,95.0,history,98.0,95.0,computerscience,100.0,8.0,"yes, debate, quiz, newspaper, etc. ",entrepreneurship,corporate/private sector,25.0,8.0,2,maybe,1,3 -  7  lakhs,Teaching,1.0,4,4,3,3,3,4,3 -  7  lakhs
149,21.0,20 - 22,1,m,22,institute of engineering and management,b tech.,computer science engineering,95.0,maths,97.0,85.0,english,91.0,9.0,,artist,corporate/private sector,30.0,,1,yes,2,7 - 10 lakhs,Government Job,,1,1,1,3,3,1,7 - 10 lakhs
150,21.0,20 - 22,1,m,1,acharya jagadish chandra bose college,b.sc / bs,mathematics,75.0,science,80.0,85.0,biology,86.0,7.0,,data analyst,government/public sector,25.0,10.0,1,yes,2,7 - 10 lakhs,Business,4.0,5,1,1,5,1,3,7 - 10 lakhs
152,19.0,18 - 20,1,m,33,nshm knowledge campus,b.sc / bs,⁠computer science - data science ,85.0,mathematics,94.0,85.0,mathematics,89.0,7.0,"yes, music ",data analyst,it secrtor,25.0,4.5,2,maybe,1,3 -  7  lakhs,Business,4.5,3,3,3,4,5,5,3 -  7  lakhs
153,19.0,18 - 20,1,m,40,sister nivedita university,ba,english,95.0,english,90.0,75.0,english,80.0,6.0,used to play football for school team,entrepreneurship,undecided,24.5,4.8,2,maybe,0,below 3 lakhs,Teaching,,3,1,1,1,1,4,below 3 lakhs
154,21.0,20 - 22,1,m,22,institute of engineering and management,bba,human resource,75.0,geography ,,85.0,,,9.0,football team captain ,entrepreneurship,others,30.0,5.5,0,no,5,15 lakhs above,Business,10.0,4,4,4,4,4,4,15 lakhs above
155,19.0,18 - 20,1,m,35,presidency university,b.sc / bs,life sciences,95.0,science,99.0,95.0,biology,94.0,8.0,"creative writing, anchoring, recitation ",animal biologist,academia/education,25.0,,0,no,1,3 -  7  lakhs,Government Job,3.0,3,4,5,3,2,5,3 -  7  lakhs
156,19.0,18 - 20,1,m,51,the bhawanipur educational society college,b com.,accountancy,65.0,pubg,3.0,85.0,costandtaxation,100.0,9.0,,house husband,others,0.0,,0,no,5,15 lakhs above,Engineering,,1,1,1,1,3,5,15 lakhs above
157,19.0,18 - 20,1,m,22,institute of engineering and management,b tech.,electronics and communication,75.0,mathematics,97.0,75.0,computerscience,88.0,0.0,football,software development engineer,it secrtor,30.0,8.0,0,no,5,15 lakhs above,Retired,20.0,1,1,1,5,1,3,15 lakhs above
158,21.0,20 - 22,1,m,36,ramakrishna mission residential college,b.sc / bs,statistics,85.0,mathematics,98.0,95.0,statistics,100.0,9.0,photography ,chartered accountant,corporate/private sector,28.0,15.0,1,yes,4,12 - 15 lakhs,Teaching,20.0,5,3,3,3,3,3,12 - 15 lakhs
159,21.0,20 - 22,1,m,43,st thomas college of engineering and technology,b tech.,information technology,85.0,mathematics,94.0,85.0,mathematics,93.0,8.0,,software development engineer,it secrtor,35.0,8.0,2,maybe,1,3 -  7  lakhs,Retired,5.0,3,4,4,1,1,4,3 -  7  lakhs
160,21.0,20 - 22,1,m,46,surendranath college,b.sc / bs,statistics,95.0,mathematics,97.0,95.0,mathematics,97.0,6.0,some times ,researcher,government/public sector,26.0,13.5,1,yes,0,below 3 lakhs,Unknown,1.0,1,5,5,1,2,5,below 3 lakhs
161,21.0,20 - 22,1,m,57,vivekananda college,b.sc / bs,statistics,95.0,mathematics,88.0,85.0,mathematics,80.0,6.0,,data analyst,sports sector,30.0,4.5,0,no,2,7 - 10 lakhs,Health Sector,10.0,4,2,1,1,1,3,7 - 10 lakhs
162,23.5,22 - 25,1,m,21,institute of business management,mba,finance,85.0,science,95.0,55.0,biology,75.0,0.0,na,entrepreneurship,government/public sector,30.0,7.5,0,no,1,3 -  7  lakhs,Retired,4.0,5,5,5,1,2,5,3 -  7  lakhs
164,21.0,20 - 22,1,m,57,vivekananda college,b.sc / bs,statistics,95.0,history,99.0,95.0,mathematics,96.0,7.0,singing ,undecided,it secrtor,25.0,13.5,0,no,5,15 lakhs above,Finance,10.0,3,3,4,2,2,4,15 lakhs above
166,21.0,20 - 22,1,m,54,university of calcutta,b com.,finance,85.0,mathematics,,85.0,,,7.0,social justice club and event organizing ,accountingaudit and taxation,corporate/private sector,0.0,8.0,0,no,3,10 - 12 lakhs,Government Job,13.5,3,3,4,4,2,3,10 - 12 lakhs
167,19.0,18 - 20,1,m,45,st xaviers university,llb,,95.0,physics,97.0,85.0,englishliterature,90.0,7.0,playing piano,lawyer,undecided,35.0,,0,no,2,7 - 10 lakhs,Engineering,,1,1,1,5,1,5,7 - 10 lakhs
169,21.0,20 - 22,1,m,55,university of engineering and management,bba,finance,85.0,commerce,85.0,75.0,commerce,82.0,9.0,,financial position,it secrtor,30.0,3.9,2,maybe,0,below 3 lakhs,Business,,4,4,4,2,3,4,below 3 lakhs
170,21.0,20 - 22,1,m,5,brainware university,b tech.,computer science engineering,85.0,mathematics,96.0,85.0,python,95.0,8.0,no,entrepreneurship,it secrtor,23.0,4.5,2,maybe,3,10 - 12 lakhs,Business,,5,3,2,1,4,5,10 - 12 lakhs
171,21.0,20 - 22,1,m,45,st xaviers university,b com.,accountancy,85.0,geography,88.0,95.0,accounts,95.0,7.0,writing,entrepreneurship,government/public sector,25.0,12.0,2,maybe,2,7 - 10 lakhs,Business,3.0,1,1,1,1,1,1,7 - 10 lakhs
172,21.0,20 - 22,1,m,27,kusum devi sunderlal dugar jain dental college,bds,biology dental,95.0,mathematics,96.0,75.0,biology,75.0,0.0,,doctor,undecided,30.0,1.2,2,maybe,1,3 -  7  lakhs,Government Job,10.0,3,3,3,3,3,3,3 -  7  lakhs
174,21.0,20 - 22,1,m,36,ramakrishna mission residential college,b.sc / bs,statistics,95.0,mathematics,96.0,95.0,mathematics,95.0,10.0,playing sitar,statistician,academia/education,28.0,17.0,0,no,2,7 - 10 lakhs,Government Job,4.0,4,1,3,2,1,5,7 - 10 lakhs
175,19.0,18 - 20,1,m,25,jis university,b tech.,computer science engineering,85.0,computer,94.0,75.0,computer,92.0,8.0,no,artificial intelligence,it secrtor,25.0,5.0,2,maybe,1,3 -  7  lakhs,Engineering,6.0,2,3,4,5,4,5,3 -  7  lakhs
176,21.0,20 - 22,1,m,49,techno india university,b tech.,mathematics,85.0,biology,89.0,85.0,computer,92.0,7.0,no,entrepreneurship,government/public sector,25.0,12.0,0,no,3,10 - 12 lakhs,Other,1.0,3,2,4,4,2,2,10 - 12 lakhs
177,23.5,22 - 25,1,m,49,techno india university,b tech.,electronics and instrumentation engineering,95.0,physics,89.0,85.0,physics,86.0,7.0,gaming club head; footballer,undecided,corporate/private sector,27.0,7.0,2,maybe,0,below 3 lakhs,Retired,20.0,4,4,4,3,4,2,below 3 lakhs
178,19.0,18 - 20,1,m,22,institute of engineering and management,b tech.,electronics and communication,95.0,mathematics,94.0,95.0,mathematics,100.0,9.0,,researcher,it secrtor,24.0,6.0,2,maybe,1,3 -  7  lakhs,Government Job,10.0,4,4,3,2,3,3,3 -  7  lakhs
179,21.0,20 - 22,1,m,24,jadavpur university,b tech.,printing engineering,95.0,maths,99.0,85.0,maths,98.0,8.0,"yes founder of pits ju, core member of finclub ju ",engineering,it secrtor,25.0,20.0,0,no,2,7 - 10 lakhs,Government Job,10.0,1,3,3,3,3,4,7 - 10 lakhs
180,21.0,20 - 22,1,m,22,institute of engineering and management,b tech.,information technology,95.0,computerscience,100.0,95.0,computerscience,95.0,9.0,"cycling, swimming, ngo activities",software development engineer,it secrtor,27.0,5.0,1,yes,2,7 - 10 lakhs,Engineering,2.0,3,1,4,1,1,5,7 - 10 lakhs
181,19.0,18 - 20,1,m,18,indian association for the cultivation of science,bsms,undecided,95.0,science,96.0,95.0,physics,86.0,0.0,badminton,cosmologist,academia/education,30.0,,0,no,4,12 - 15 lakhs,Government Job,20.0,1,1,5,1,1,5,12 - 15 lakhs
182,21.0,20 - 22,1,m,49,techno india university,b tech.,computer science engineering,95.0,mathematics,98.0,95.0,,,8.0,"dance, acting, football",actor,creative fields,0.0,,1,yes,2,7 - 10 lakhs,Government Job,6.0,5,5,2,5,5,1,7 - 10 lakhs
183,19.0,18 - 20,1,m,4,asutosh college,ba,mass com,55.0,english,91.0,75.0,bstd,82.0,6.0,"football, anchoring ",entrepreneurship,government/public sector,24.0,11.5,2,maybe,2,7 - 10 lakhs,Government Job,,1,3,1,5,4,4,7 - 10 lakhs
184,21.0,20 - 22,1,m,22,institute of engineering and management,bba,management,75.0,maths,96.0,85.0,computerscience,97.0,9.0,graphics designer ,entrepreneurship,undecided,30.0,4.0,1,yes,3,10 - 12 lakhs,Other,20.0,3,3,2,1,2,4,10 - 12 lakhs
185,21.0,20 - 22,1,m,23,ipgmer,bpt,physiotherapy,95.0,science,97.0,95.0,physics,85.0,9.0,sports,entrepreneurship,government/public sector,28.0,20.0,0,no,1,3 -  7  lakhs,Teaching,20.0,5,1,5,1,1,5,3 -  7  lakhs
186,19.0,18 - 20,1,m,45,st xaviers university,llb,,75.0,politicalscience,82.0,85.0,economics,88.0,7.0,no,litigation,government/public sector,30.0,6.5,0,no,5,15 lakhs above,Legal Sector,10.0,5,2,3,5,4,4,15 lakhs above
187,19.0,18 - 20,1,m,22,institute of engineering and management,b tech.,computer science engineering,95.0,sst,95.0,75.0,english,92.0,0.0,no,investment banker,undecided,40.0,6.5,2,maybe,1,3 -  7  lakhs,Other,10.0,5,1,1,3,1,3,3 -  7  lakhs
188,19.0,18 - 20,1,m,55,university of engineering and management,b tech.,computer science engineering,85.0,mathematics,97.0,75.0,biology,85.0,0.0,sport ,artificial intelligence,it secrtor,24.0,10.0,2,maybe,0,below 3 lakhs,Business,6.0,4,4,5,5,3,4,below 3 lakhs
189,21.0,20 - 22,1,m,58,vivekananda college thakurpukur,b.sc / bs,geography,75.0,geography,80.0,95.0,geography,99.0,7.0,,gis analyst,government/public sector,28.0,2.5,0,no,0,below 3 lakhs,Retired,7.5,1,1,2,1,1,5,below 3 lakhs
190,19.0,18 - 20,1,m,43,st thomas college of engineering and technology,b tech.,information technology,95.0,mathematics,100.0,85.0,science,97.0,8.0,,software development engineer,it secrtor,35.0,8.5,0,no,5,15 lakhs above,Private Job,4.5,4,2,1,3,4,5,15 lakhs above
191,19.0,18 - 20,0,o,24,jadavpur university,ba,english,95.0,biology,100.0,95.0,psychology,98.0,6.0,music/writing ,undecided,government/public sector,27.0,4.0,2,maybe,1,3 -  7  lakhs,Government Job,1.0,3,2,4,3,4,5,3 -  7  lakhs
