Do you consent to the use of the information provided in this form for analysis and research purposes? Your data will be handled confidentially and used solely for academic or research objectives. [ Put it on the top],Age Group,Gender,College Name ,Degree ,Subject of Specialisation [With which subject you are pursing the degree],Percentage obtained in Class X,Are you involved with any co-curricular activities? Please mention,Favourite Subject(s) till Class X and marks obtained in that subject,Percentage obtained in Class XII,Favourite Subject(s) till Class XII and marks obtained in that subject,What was your motivation/factors behind choosing your current Stream of study?,How much you are satisfied with your chosen Stream of study,How much do you feel this degree is easy for you?,Your current CGPA?,"Which profession you would like to pursue in future ? (e.g., data scientist , modelling, entrepreneurship) ",What is your preferred Working Sector?(E.g.private sector or public sector or IT sector e.t.c),Do you feel financially constrained while choosing your career in higher studies? ,What is your expected salary (in Lakhs Per Annum) ,By what age do you want to settle in your career?,How many earning people are there in your family? ,Annual Family Income (appx),Parent's occupation,Highest Qualification of your parents,How much can you invest on your in education ? (in lakhs),On scale 1-5 what do you think about the influence from your parents towards you for choosing your career path,On scale 1-5 what do you think about the influence from your friends towards you for choosing your career path,On scale 1-5 what do you think about the influence from your teacher/mentor towards you for choosing your career path,On scale 1-5 what do you think your career choice has been affected by social or cultural expectations.,On a scale of 1-5 how much social media has affected your career choices in recent days.,On a scale of 1-5 what will you rate your chosen career as a stable one. [# not required],Do you feel that Your choosen degree aligns with your personal choice
"Yes, I consent",20 - 22,Male,"St Xavier's University,Kolkata ",LLB,"""Law"" -Constitutional Matters(Writs).",80 - 90,,English-94,90 - 100,PoliticalScience:97,Money ,3,3,7,Advocate ,High court litigation ,Maybe,0.75lks,35,1,below 3 Lakhs,Real estate ,Graduation ,7lks,3,1,3,5,2,2,4
"Yes, I consent",18 - 20,Female,"St Xavier's (Autonomous) College, Kolkata",B Com.,Accountancy,90 - 100,NSS,Mathematics - 99,90 - 100,Mathematics - 99,Interest and Earning Potential ,5,4,8,Chartered accountant ,Private Sector ,No,12 LPA,27,1,10 - 12 Lakhs,Private Sector Employee ,B.A,8,1,1,1,3,2,5,5
"Yes, I consent",18 - 20,Female,St. Xaviers autonomous college,B Com.,Accountancy ,90 - 100,NSS,Math,90 - 100,Math,I'm bad at science ,5,3,6,CA,Private,Maybe,12-13,25-26,2,10 - 12 Lakhs,Teacher ,Post graduate ,6,2,3,2,4,3,5,5
"Yes, I consent",18 - 20,Female,Sivnath Sastri College ,B Com.,Accountancy & Finance ,80 - 90,Dance,"Mathematics -89, Life Science -92",80 - 90,"Mathematics -80, Statistics -85",Exploring new genres,4,5,8,Tax Analyst ,Private sector or Public sector ,No,4.5 lpa,28-30,2,7 - 10 Lakhs,Service ,Graduate ,3-4,3,2,1,2,1,3,4
"Yes, I consent",22 - 25,Female,Shri Shikshayatan college ,M Com.,Accounting ,70 - 80,Painting ,English -70,70 - 80,Businessstudies -77,I have always loved my stream and the teachers have inspired me to become one. I look forward to teach commerce.,4,3,0,Professor of commerce ,Education sector ,No,3-5 lakhs p.a,25,1,below 3 Lakhs,Retired ,Graduation ,1 lakh per year ,4,2,5,2,2,5,5
"Yes, I consent",22 - 25,Female,Calcutta University ,M Com.,Accounting and finance ,80 - 90,Karate,Science-87,80 - 90,Accountancy -92,"My liking towards economy,business etc",5,5,8,Commerce related ,Public sector ,No,8-9,No age,3,3 -  7  Lakhs,Business ,Graduate ,As much it is required ,2,1,3,1,1,5,5
"No, I do not consent",22 - 25,Male,CALCUTTA UNIVERSITY ,M Com.,ACCOUNTING AND FINANCE ,80 - 90, DPS MEGA BIZZ competition ,"GEOGRAPHY- 77, BENGALI -84, COMMERCE- 80",70 - 80,"COMMERCE- 82, BST- 80",COST MANAGEMENT ACCOUNTING (CMA) IFS CORE + M.COM (account and finance),5,3,8,Web development,PRIVATE SECTORS,Maybe,8-10 LPA,25,2,15 Lakhs above,Business ,Masters,No more please already invested alot,5,5,5,1,5,3,5
"Yes, I consent",18 - 20,Male,The Bhawanipur Educational Society College ,B Com.,Accounts & Finance ,70 - 80,"Football, cricket, event management ",English - 90,80 - 90,Commerce - 90,"Becoming more expert in the field of accounts, finance & marketing. Preparing for life as a more aware and educated individual.",3,5,7,Accounts & finance manager ,Private ,Maybe,3-5 lakhs ,32,2,3 -  7  Lakhs,Business ,Graduate ,2,5,3,4,1,1,5,5
"Yes, I consent",18 - 20,Male,Besc,B Com.,Accounts and finance,60-70,,Pubg- 3.2kd,80 - 90,Costandtaxation -100,Can't read chemistry anymore,1,1,9,House husband,Home,No,Depends on wife's or her dad's networth,As soon as possible,1,15 Lakhs above,Engineer,Diploma engineer,Not a single penny more,1,1,1,1,3,3,5
"Yes, I consent",20 - 22,Male,The Bhawanipur College ,B Com.,Accounts Finance ,90 - 100,No,Economics -94,70 - 80,Economics 82,Financial Matters,4,1,6,Business Administration ,Private sector,Maybe,12 LPA,26 MAYBE ,1,7 - 10 Lakhs,Service ,Graduated,4-5 ,4,3,5,1,1,4,3
"Yes, I consent",20 - 22,Male,"St. Xavier's university, Kolkata",B Com.,Accounts in B.com,80 - 90,Writing,Geography 88,90 - 100,Accounts 95,I am good at accounts,3,4,7,Business startups or Govt jobs,Public sector,Maybe,12 Lakh pa,25,1,7 - 10 Lakhs,Businessman,Bachelors,3 lakh,1,1,1,1,1,1,1
"Yes, I consent",20 - 22,Male,Sister Nivedita University ,B.Sc / BS,Agricultural ,80 - 90,No,Biology-91,70 - 80,Biology-86,Nature,5,5,8,Entrepreneurship,Banking or Railways,No,12,22,2,3 -  7  Lakhs,Business ,Graduation ,10000,5,1,5,1,1,5,5
"Yes, I consent",18 - 20,Female,IEM,BBA,Analytics ,80 - 90,No,Biology - 97,70 - 80,Biology - 99,Donâ€™t know ,3,4,8,Data analyst ,,Maybe,,,2,3 -  7  Lakhs,,,â€”,3,1,1,1,1,4,5
"Yes, I consent",20 - 22,Female,Amity University of Kolkata ,BFA animation ,Animation ,60-70,Not really ,61%,50 - 60,67%,I love to draw cartoon ,3,3,6,Artificial intelligence,It sector ,Yes,10lakhs,Age 27,Father ,below 3 Lakhs,Private sector company ,Father graduated from bachelor ,It depends on the course,5,3,5,1,4,4,4
"Yes, I consent",18 - 20,Female,Sister Nivedita University ,BA,B.A. (Hons) in English ,70 - 80,,English - 78,80 - 90,English - 90,It being my Favourite Subject,4,3,7,Maybe Journalism or Teaching (Professor),Any,Maybe,360000,23-24,1,3 -  7  Lakhs,Business ,High school ,.,3,1,1,1,1,5,4
"Yes, I consent",18 - 20,Female,St. Xaviers University Kolkata ,BA,B.A. in psychology honours ,80 - 90,NGOs,English - 92,90 - 100,Psychology - 94,Interest in the stream,5,3,0,Psychologist ,Private ,No,"1,00,000",24,3,15 Lakhs above,Entrepreneurship ,Graduate ,10 lacks ,1,1,1,5,5,5,5
"Yes, I consent",20 - 22,Male,TECHNO INTERNATIONAL NEW TOWN ,B Tech.,B.TECH In AIML,80 - 90,Yea currently am working under Traffic Management system using AI,Computer- 90/100,80 - 90,Mathematics- 85/100,For exploring new Gizmos & cutting-edge technologies ,4,4,7,Web developer ,IT Sector,No,6 LPA,50,1,3 -  7  Lakhs,"Father- Legal Supervisor, Mother- Housewife",Father- B.A graduate ,5 Lakhs,3,4,5,3,5,4,2
"Yes, I consent",22 - 25,Male,Techno Main Salt Lake,B Tech.,B.Tech in Electronics and Instrumentation,90 - 100,Gaming Club Head; Footballer,Physics - 89,80 - 90,Physics - 86,Wide scope of opportunities to cultivate different skills for different fields of work.,3,4,7,Haven't thought about it yet.,Private sector,Maybe,7 LPA,27,1,below 3 Lakhs,Retired,Graduates,20(approx),4,4,4,3,4,2,2
"Yes, I consent",20 - 22,Female,TECHNO INDIA ,B Tech.,B.tech in Food Technology ,80 - 90,Football ,Maths - 87,80 - 90,Biology - 88,Better scope,3,3,7,Food technologist ,Private,No,6-7lkhs,25,1,12 - 15 Lakhs,Father -  service mother - house wife ,Father -b.com honours mother - mbbs,7lks,5,1,3,5,5,3,1
"Yes, I consent",18 - 20,Male,Sister Nivedita University ,BA,Ba English,90 - 100,Used to play football for school team,English (90),70 - 80,English (80),Favourite subject,3,4,6,Entrepreneur,Honestly any if the money is good,Maybe,4.8,24-25,1,below 3 Lakhs,Teacher ,College graduates ,I don't know ,3,1,1,1,1,3,4
"Yes, I consent",18 - 20,Female,st xaviers university ,BA,ba in psychology ,90 - 100,dance ,geography-96,90 - 100,Psychology-98,to study sports psychology ,4,4,0,psychologist ,Private ,No,1lkh,26,1,15 Lakhs above,Business,graduate,30,5,1,4,3,3,4,3
"Yes, I consent",22 - 25,Female,"Department of Law, University of Calcutta",LLB,BA LLB Hons ,90 - 100,,Biology- 96,80 - 90,Economics- 98,Nobleness of the profession ,5,2,9,CS ,Public/Private both,No,4.5 lakhs,30,2,3 -  7  Lakhs,Father- Businessman; Mother- Housewife ,Master's Degree ,2-3 lakhs,4,5,1,3,2,4,5
"Yes, I consent",20 - 22,Female,AUK,BA,BA Political Science Honours ,80 - 90,Yoga,English - 82  ,80 - 90,Sociology - 85,It was a one night decision ,5,5,8,IAS Officer or Researcher ,Public ,Yes,"50,000",27,1,3 -  7  Lakhs,Service,Post Graduation In Marketing,My father does it ,4,4,4,3,5,4,5
"Yes, I consent",20 - 22,Male,Calcutta School of Tropical Medicine ,B.Sc / BS,Bachelor in Medical Laboratory Technology ,90 - 100,No,History and Civics 96,90 - 100,Mathematics 98,To get a  degree allied with medical science,4,5,7,Research ,Public ,No,3 LPA,35,2,3 -  7  Lakhs,Business ,Graduate ,10 lakh,5,1,4,5,1,4,5
"Yes, I consent",18 - 20,Male,Institute of Engineering and management ,BBA,Bachelor of business administration ,90 - 100,No,Geography -97,70 - 80,CostingandTaxation -90,NA,4,4,8,Entrepreneurship ,Private sector ,Yes,8-9 ,By 28,1,7 - 10 Lakhs,Business ,Graduation ,6 lakhs ,3,2,3,4,3,3,2
"Yes, I consent",18 - 20,Female,Sister Nivedita University ,BA,Bachelor of English (Hons),60-70,no,LifeScience - 76,70 - 80,English -72,wants to do teaching or any kinda job,4,4,6,Teaching/private job,Private sector ,Maybe,2.50 - 3 Lakhs Per Annum ,22,1,below 3 Lakhs,buisness ,8th pass,NA,4,3,3,3,2,3,3
"Yes, I consent",18 - 20,Male,"Institute of Engineering and Management,Kolkata",B Tech.,Bachelors of Technology in Electronics and communication ,70 - 80,Football,Mathematics -97,70 - 80,ComputerScience -88,Good job,1,3,0,SDE,IT,No,8,30,2,15 Lakhs above,Retired Customs officer,Graduate ,20,1,1,1,5,1,3,3
"No, I do not consent",20 - 22,Male,Sister nivedita University ,B Com.,Banking and finance ,80 - 90,No,History 96,70 - 80,Economy 82,Account ,5,4,7,Accountant ,Government ,Maybe,10 lakhs,25,2,7 - 10 Lakhs,Business,Graduation ,1,5,4,4,4,3,4,4
"Yes, I consent",20 - 22,Female,"Institute of engineering and management, Saltlake Kolkata ",BBA,BBA (Finance),80 - 90,,Mathematics - 96,90 - 100,Accountancy -92,Job ,2,3,9,Accountent ,IT,Yes,"335,000",22,2,3 -  7  Lakhs,Business ,Graduate ,4 lakhs ,1,1,1,2,3,3,2
"Yes, I consent",18 - 20,Female,Techno Main Salt Lake ,BBA,Bba in hospital management ,60-70,Dance,English -84,80 - 90,History 88,"As we all know, Hospital will never have a downfall 
",5,3,0,HR in hospital ,Private sector ,No,4 lakhs per year,25,2,10 - 12 Lakhs,Government service,Masters ,3-4,5,4,4,1,1,4,1
"Yes, I consent",18 - 20,Male,"St Xavier's College (Autonomous) , Kolkata",B Com.,BCOM,90 - 100,NO,Mathematics 95,90 - 100,Economics 98,Marketing and Finance,5,5,8,Entrepreneurship,Business,Maybe,75000 - 100000,30,2,15 Lakhs above,Business and Govt. Job,Masters,1Crore plus,1,1,1,1,1,5,5
"Yes, I consent",18 - 20,Female,Sivanth sastri,B Com.,Bcom hons (Acountancy) ,70 - 80,,Bengali 86,90 - 100,Accountancy 96 Computer application 99 ,To be successful ,4,4,7,Chartered Accountant,Private sector ,Yes,6 lakh - 7 lakh,25,1,3 -  7  Lakhs,Business ,BA,5 lakh,4,4,5,3,3,4,3
"No, I do not consent",20 - 22,Female,Amity university ,Bfa animation ,BFA animation ,70 - 80,Painting,English - 89,80 - 90,Applied art - 91 ,My art,3,3,5,Id rather not answer this ,Self sector ,Maybe,50k only.  ( now you're getting personal this sort of questions are extremely personal to me ..i dont like to share it with some random person or a survey ) ,I wont answer  ! Fuck off. ,4,7 - 10 Lakhs,Engineering and the other one housewives ,Idk,Why are they parents for ? For fun? They have to spend bucks.,1,1,1,1,1,5,5
"Yes, I consent",20 - 22,Male,Kusum Devi Dental College And Hospital ,BDS,Biology (Dental),90 - 100,,Mathematics -96,70 - 80,Biology - 75,Lifestyle ,4,2,0,Doctor ,Both,Maybe,1.2,30,1,3 -  7  Lakhs,Government service,Graduation ,10,3,3,3,3,3,3,3
"Yes, I consent",20 - 22,Male,Netaji Subhash Engineering College ,B Tech.,Biomedical Engineering ,90 - 100,"MMA, Athletes, Marathons, Debate","Chemistry, 98",80 - 90,"Chemistry, 80",To impact human lives through engineering. To understand the brain and learn from it (neuroengineering),5,3,8,Entrepreneur ,Research and development ,No,10 lpa,30,4,15 Lakhs above,Professor ,Phd,20,1,1,1,1,5,5,5
"Yes, I consent",20 - 22,Male,Sister Nivedita University,B.Sc / BS / BCA,Biotechnology,90 - 100,Guitarist,Mathematics-100,80 - 90,Biology- 88,NormalðŸ¥²,4,3,7,"Professor, wet lab scientist",Public Sector,Yes,12-18 LPA,25-27,1,15 Lakhs above,Defence Employee,Graduate,3-5 L,4,4,3,3,3,3,3
"Yes, I consent",18 - 20,Female,Adamas University ,B Tech.,Biotechnology ,90 - 100,"Drawing, Drawing, Singing ",Mathematics - 99,80 - 90,Mathematics - 92,No one,4,4,9,Biotech Industry,BIOTECH sector ,Yes,3 lpa,25,1,below 3 Lakhs,Lawyer ,LLB,4,4,2,3,1,2,4,4
"Yes, I consent",20 - 22,Male,Brainware University ,B Tech.,BTech in CSE - Data Science ,80 - 90,No,Mathematics - 96,80 - 90,Python - 95,Nothing ,3,4,8,Entrepreneurship ,IT sector ,Maybe,4-5 LPA,23,One,10 - 12 Lakhs,Business ,B.Com,Parents know,5,3,2,1,4,5,5
"Yes, I consent",18 - 20,Male,Coochbehar Government Engineering College,B Tech.,BTech in Electronics and Communication,90 - 100,"Yes, Debate, Quiz, Newspaper, etc. ",History - 98,90 - 100,ComputerScience - 100,The urge to solve all world class problems through a engineering spectacle. ,5,3,8,Entrepreneurship,Private Sector,Maybe,8,25,2,3 -  7  Lakhs,Teacher,BSc,1Lakh,4,4,3,3,3,4,4
"Yes, I consent",18 - 20,Female,Techno International New Town ,B Tech.,Business ,80 - 90,"Yes , Dance",Bengali -95,80 - 90,Chemistry -89,Unfortunately ,4,3,7,Software engineer ,Private sector ,Yes,5,30,1,10 - 12 Lakhs,Government ,B.com,6-7,4,3,2,3,3,3,3
"Yes, I consent",18 - 20,Female,Techno International New Town ,B Tech.,Business ,80 - 90,Dance,Math-80,90 - 100,Chemistry 98,Achievement ,4,4,7,Entrepreneurship ,IT sector ,Maybe,5 per year ,22,2,below 3 Lakhs,Business ,Higher secondary ,2lakhs,4,4,4,4,3,3,3
"Yes, I consent",18 - 20,Male,Jadavpur University ,B Tech.,Chemical Engineering ,90 - 100,"I play the guitar, watch films, read books",Physics-97,90 - 100,Mathematics- 100,I was always curious about how far the concepts of maths and science can stretch their boundaries and make something fascinating out of that,4,4,9,Material Synthesis And Energy scientist,Private ,No,10-14,"30 or above, depends cause i want to study, and gather more knowledge ",2,12 - 15 Lakhs,Father- Doctor Mother- Businesswoman,"Mother- Masters Zoology, Father-MD Chest Medicine ",20-30 (depends on my choice of masters as i want to pursue it abroad),3,2,4,3,2,4,5
"Yes, I consent",18 - 20,Female,Techno International Newtown,B Tech.,Computer ,80 - 90,No,Mathematics -81,80 - 90,Mathematics -89,Learning about computers,5,5,7,Cyber Security ,IT Sector ,Yes,6,30,3,3 -  7  Lakhs,Serviceman ,Graduate ,4,3,3,5,3,5,5,5
"Yes, I consent",20 - 22,Male,Netaji Subhash engineering College ,Bca,Computer application ,80 - 90,Football ,Science 85,70 - 80,Science 80,Computer ,3,3,7,Modeling ,IT ,No,5.5 lpa,28,2,10 - 12 Lakhs,Private+ business ,MA,10 lakhs,3,1,3,3,3,3,3
"Yes, I consent",18 - 20,Male,Drop out ,Intermediate ,Computer application ,60-70,Karate ,Mathematics -64,50 - 60,Physicaleducation -73,Interest towards subject ,3,3,0,Data scientist ,It sector ,Maybe,6lakhs,23,4,3 -  7  Lakhs,Not applicable ,Matriculation ,4-5lakhs,3,3,3,2,4,2,3
"Yes, I consent",20 - 22,Female,The Heritage Academy ,B.Sc / BS / BCA,Computer application ,60-70,Sarang welfare society ,"History -70, English - 79",80 - 90,"Computerapplication -99, Nutrition -89",Technology ,5,4,7,Web developer ,Private or public sector ,Maybe,19 lakhs,25,Four,15 Lakhs above,Accounts manager ,Head accounts manager ,109200,5,4,5,2,1,3,3
"Yes, I consent",18 - 20,Female,Dayananda sagar college of engineering ,B Tech.,Computer sc ,70 - 80,,"English :92 , life sc :84",70 - 80,English :87,Coding ,4,3,0,Mba,Private sector,Maybe,15,24,1,10 - 12 Lakhs,Government job,Mba,5,3,4,2,3,2,3,4
"Yes, I consent",20 - 22,Male,FIEM,B Tech.,Computer science,80 - 90,Swimming ,Mathematics -96,80 - 90,Computer - 87,Cuzz I love computer  and i can pass the whole day sitting infront of my pc whether its gaming or coding x,4,4,7,SDE,IT,No,As a fresher 5lpa ,30-35,1,12 - 15 Lakhs,Manager in a private sector ,Graduation ,According to needs nothing such constraints ,1,1,1,4,5,4,5
"Yes, I consent",20 - 22,Male,Iem salt lake,B Tech.,Computer science,90 - 100,Reading,"Computer - 93 , Mathematics - 92 , Bengali - 90",80 - 90,"Computer - 97 , Mathematics - 93 , Bengali - 83",I just love computers and stuffs,4,3,8,Cybersecurity engineer,"Govt, IT",Maybe,5 - 6 lpa,After 30,1,7 - 10 Lakhs,"Father - govt service, mother - house wife",Father - postgrad,7 L,4,4,2,1,3,4,5
"Yes, I consent",18 - 20,Male,Amity University Kolkata,B Tech.,Computer Science,90 - 100,Basketball,Computer Applications - 97,90 - 100,ComputerScience - 97,Just loved coding,4,4,8,Entrepreneur,IT,Yes,12,25,1,3 -  7  Lakhs,Service,M.A.,10,3,2,4,3,4,4,4
"Yes, I consent",18 - 20,Female,Techno India University,B Tech.,Computer Science,90 - 100,no,mathematics -97,80 - 90,english-93,computers are fun,3,3,9,engineer,IT,No,around 7-10,didnt think of it,2,3 -  7  Lakhs,education,A master's degree,idk,3,3,3,3,2,3,3
"Yes, I consent",18 - 20,Male,IEM,B Tech.,Computer science,90 - 100,No,Sst- 95,70 - 80,English-92,Money and better opportunities for higher studies,2,2,0,Investment banker,Finance,Maybe,6-7,40,1,3 -  7  Lakhs,Self employed,Bachlors,10,5,1,1,3,1,3,3
"Yes, I consent",18 - 20,Male,University of Engineering & Management ,B Tech.,Computer Science ,90 - 100,,ComputerApplications - 98,90 - 100,ComputerApplications - 100,My passion and interest to explore the subject,4,3,9,Software Developer ,IT,No,9,25,1,3 -  7  Lakhs,Family Business ,B.com,15,2,3,4,2,3,3,4
"Yes, I consent",18 - 20,Male,University of Engineering and management ,B Tech.,Computer science ,80 - 90,Sport ,Mathematics - 97,70 - 80,Biology - 85,N/A,3,4,0,Artificial intelligence ,IT,Maybe,10,24,2,below 3 Lakhs,Business ,Higher secondary (H.S),6,4,4,5,5,3,3,4
"Yes, I consent",20 - 22,Female,Techno international Newtown ,B Tech.,Computer science and business system engineering ,70 - 80,Dance ,Geography -80,70 - 80,Chemistry -85,More money ,2,2,6,Software developer ,IT sector ,Maybe,5-6 LPA,God knows ,2,10 - 12 Lakhs,Business ,Deploma ,10L,5,3,5,5,5,3,1
"Yes, I consent",18 - 20,Male,Institute of Engineering and Management,B Tech.,Computer Science and Engineering ,90 - 100,"Hackathons , Fest Managments",ComputerApplication- 99,90 - 100,ComputerScience- 99,Always had a knack for technology and innovation and found reasoning and logic easier than mugging up subject matter.,4,4,9,AI engineerq,Private,Maybe,12-18,25,2,7 - 10 Lakhs,Businessman and Housewife,College graduate,15,4,3,4,4,2,3,5
"No, I do not consent",20 - 22,Male,Techno International new town,B Tech.,Computer science and technology ,90 - 100,"Yes, karate and music ",Computerscience-99,80 - 90,Computerscience,Technology fascinates me,4,3,0,Entrepreneur,Public and private  sector ,Maybe,20 lpa,30,1,3 -  7  Lakhs,Government service,MBA,4,4,4,4,5,5,3,3
"Yes, I consent",18 - 20,Male,Jis University ,B Tech.,Computer science Engineering ,80 - 90,No,Computer - 94,70 - 80,Computer - 92,Love for tecnology ,4,3,8,Ai/Ml engineer,It sector ,Maybe,5,25,1,3 -  7  Lakhs,Civil engineering ,Diploma in engineering ,6,2,3,4,5,4,4,5
"Yes, I consent",20 - 22,Female,Dr.Sudhir Chandra Sur Institute of technology and sports complex ,B Tech.,Computer science engineering (Artificial intelligence and machine learning),80 - 90,Dance.,Science- 94,80 - 90,Biology -96,Got suggestion from my teacher ,4,3,8,Web developer ,IT SECTOR,Maybe,5lpa,24,1,3 -  7  Lakhs,Service,Graduate ,4lpa,1,3,4,1,1,4,1
"Yes, I consent",20 - 22,Male,Institute of Engineering and Management,B Tech.,Cse,90 - 100,,Maths-97,80 - 90,English-91,The field of knowledge and expertise,3,3,9,Artist,Private,Yes,NA,30,1,7 - 10 Lakhs,Service Manager,Btech,NA,1,1,1,3,3,4,1
