Do you consent to the use of the information provided in this form for analysis and research purposes? Your data will be handled confidentially and used solely for academic or research objectives. [ Put it on the top],Age Group,Gender,College Name ,Degree ,Subject of Specialisation [With which subject you are pursing the degree],Percentage obtained in Class X,Are you involved with any co-curricular activities? Please mention,Favourite Subject(s) till Class X and marks obtained in that subject,Percentage obtained in Class XII,Favourite Subject(s) till Class XII and marks obtained in that subject,What was your motivation/factors behind choosing your current Stream of study?,How much you are satisfied with your chosen Stream of study,How much do you feel this degree is easy for you?,Your current CGPA?,"Which profession you would like to pursue in future ? (e.g., data scientist , modelling, entrepreneurship) ",What is your preferred Working Sector?(E.g.private sector or public sector or IT sector e.t.c),Do you feel financially constrained while choosing your career in higher studies? ,What is your expected salary (in Lakhs Per Annum) ,By what age do you want to settle in your career?,How many earning people are there in your family? ,Annual Family Income (appx),Parent's occupation,Highest Qualification of your parents,How much can you invest on your in education ? (in lakhs),On scale 1-5 what do you think about the influence from your parents towards you for choosing your career path,On scale 1-5 what do you think about the influence from your friends towards you for choosing your career path,On scale 1-5 what do you think about the influence from your teacher/mentor towards you for choosing your career path,On scale 1-5 what do you think your career choice has been affected by social or cultural expectations.,On a scale of 1-5 how much social media has affected your career choices in recent days.,On a scale of 1-5 what will you rate your chosen career as a stable one. [# not required],Do you feel that Your choosen degree aligns with your personal choice
"Yes, I consent",20 - 22,Female,Presidency University ,B.Sc / BS / BCA,Life sciences ,90 - 100,Painting ,"Biology 98, english 97",90 - 100,Biology 95,I want to know the oceanic ecosystem and what recent anthropogenic activities are harming them,5,4,8,Marine biologist ,Government research institute ,No,9.6,29-32,2,12 - 15 Lakhs,Government services ,Msc,3,3,1,1,2,5,4,5
"Yes, I consent",18 - 20,Male,Presidency University ,B.Sc / BS / BCA,Life sciences ,90 - 100,No,Biology -98,90 - 100,Physics -90,Research purpose ,5,4,6,Professor ,Government ,Yes,80k,30,1,below 3 Lakhs,Survey ,Honours ,0.4 lakhs ,5,5,5,3,2,4,5
"Yes, I consent",18 - 20,Female,INDIAN INSTITUTE OF SCIENCE EDUCATION AND RESEARCH KOLKATA ,BSMS DUAL DEGREE 5 YEARS PROGRAMME,"Major in Earth science, minor in physics. ",90 - 100,Cultural activities(Drama and recitation) and sports: Football mainly,"English - 97, History - 94",80 - 90,Bengali- 92,Sab ghar pe garibi ka chakkar hai babu bhaiya. To be able to do science is the greatest sin in a lower middle class family. You are bound to do science for a living in such cases.,3,4,8,Professor( after completing pgod and post doc in specified field of earth science ,Public. Private is okay too. ,Maybe,9.5 lac pa minimum ,29-30,1,7 - 10 Lakhs,SBI employee,Bsc,5lac to 6lac maximum with help of educational loan,4,2,4,5,4,5,1
"Yes, I consent",20 - 22,Male,Institute of Engineering and Management ,BBA,Management ,50 - 60,,History ,80 - 90,CostingandTaxation-97,Marketing job role ,3,3,8,Marketing manager ,Corporate ,No,5,25,1,10 - 12 Lakhs,Banker ,Masters,8,3,1,1,2,3,3,3
"Yes, I consent",20 - 22,Female,"University of Engineering and Management, Kolkata ",BBA,Management ,80 - 90,Leadership roles,Mathematics-96,60-70,Mathematics- 68,Have no choice,3,4,9,Data Analyst or financial Analyst ,It,Yes,3.5,25,1,7 - 10 Lakhs,Business ,Graduate ,4,3,3,1,2,4,4,2
"Yes, I consent",20 - 22,Male,Institute of engineering and management ,BBA,Management ,70 - 80,Graphics designer ,Maths - 96,80 - 90,ComputerScience - 97,You explore the administration side,3,5,9,Entrepreneurship ,Finance,Yes,4 lpa,30,2,10 - 12 Lakhs,Self Employed ,LLM,20 lakhs,3,3,2,1,2,2,4
"Yes, I consent",20 - 22,Male,Dr Shyamaprasad Mukherjee College,B Com.,Marketing,80 - 90,No,Commerce - 80,70 - 80,Commerce - 85,Interest in Financial Market ,1,3,6,Trading ,Finance,Yes,2,28,2,7 - 10 Lakhs,Business,Graduate ,2 Lakhs,1,1,1,1,1,1,2
"Yes, I consent",18 - 20,Female,Iem ,BBA,Marketing,80 - 90,,English 85,80 - 90,English 90,Like bba ,3,3,8,Graphics designing,Na,No,5l,25,1,12 - 15 Lakhs,Business,Bcom,2l,3,3,3,3,3,3,3
"Yes, I consent",20 - 22,Female,St. XAVIERS UNIVERSITY ,BBA,Marketing,80 - 90,Not really at present,History- 97,90 - 100,BusinessStudies- 96,Interest in management ,3,3,7,Entrepreneurship ,Private sector,No,2.04 LPA,There is not really a specific benchmark for this as u are always a Learner but if asked 33 approximately.,2,3 -  7  Lakhs,"Businessman, private sector employee","Bcom, B.sc",15 lakhs,5,4,3,3,4,3,2
"Yes, I consent",18 - 20,Male,Asutosh College ,BA,Mass com ,50 - 60,"Football, anchoring ",English 91,70 - 80,Bstd - 82,I think I am extrovert so I can easily interact with strangers that's why I chose mass communication ,3,2,6,Entrepreneurship/ Central Government jobs/any kind of TV show,Central Government ,Maybe,10-13lakhs,24,1,7 - 10 Lakhs,Government Service,Graduation ,Don't know ,1,3,1,5,4,2,4
"Yes, I consent",20 - 22,Male,Techno India University,B Tech.,Mathematics,80 - 90,No,Biology - 89,80 - 90,Computer - 92,Lot of scope in the field,3,3,7,Entrepreneurship,Public Sector,No,Around 12 LPA,25,1,10 - 12 Lakhs,Job,B. Com,1,3,2,4,4,2,4,2
"Yes, I consent",20 - 22,Female,Sister Nivedita University ,B.Sc / BS,Mathematics ,80 - 90,Painting ,Mathematics - 91,80 - 90,Mathematics - 93,My interest in mathematics and becoming a teacher.,4,4,8,Teacher ,Private or public sector ,Maybe,1.8 lakhs,23-24,1,3 -  7  Lakhs,Ex serviceman ,12,2-5 lakhs,1,1,2,1,1,2,5
"Yes, I consent",20 - 22,Female,Narasinha Dutt College ,B.Sc / BS / BCA,Mathematics ,80 - 90,Singing ,Geography - 95,70 - 80,Mathematics - 63,I always wanted to study mathematics ,5,3,6,Teaching ,Public sector ,Yes,6 LPA,24,None,below 3 Lakhs,Retired,XII,1.5 lakhs,4,4,2,3,1,4,5
"Yes, I consent",20 - 22,Female,Acharya Jagadish Chandra Bose College ,B.Sc / BS / BCA,Mathematics ,80 - 90,Singing ,"Bengali-85 , Mathematics-77",80 - 90,"Bengali-94, English-88",I want to be a teacher and I like mathematics so I chosen this defree.,5,4,6,Teacher or Banking Job or Data Scientist ,IT sector or Public sector ,Maybe,6-12 lakhs,25,One,3 -  7  Lakhs,Private company employee ,B.A. Pass,4-5 lakhs,5,4,5,1,5,5,5
"Yes, I consent",20 - 22,Male,Acharya Jagadish Chandra Bose College ,B.Sc / BS / BCA,Mathematics ,70 - 80,,Science 80,80 - 90,Biology 86,To pursue data analyst in higher studies ,3,4,7,Data analyst,Public Sector,Yes,10 lakh ,25,2,7 - 10 Lakhs,Business,Higher Secondary ,4 lakhs,5,1,1,5,1,5,3
"Yes, I consent",18 - 20,Female,Jadavpur University ,B.Sc / BS / BCA,Mathematics ,80 - 90,No,Mathematics -99,80 - 90,Mathematics -99,I love that subject ,5,3,8,Banker ,Public sector ,No,10,25,1,3 -  7  Lakhs,Taxation consultant ,Graduation ,2,5,5,5,1,4,5,5
"Yes, I consent",22 - 25,Female,Scottish Church College ,B.Sc / BS / BCA,Mathematics ,90 - 100,"Dancing, recitation, drawing ",Mathematics -99,90 - 100,Mathematics -100,In depth knowledge ,4,2,7,Data scientist ,IT Sector ,Maybe,15,25,1,3 -  7  Lakhs,Service ,Graduate ,5,2,2,4,1,3,5,4
"Yes, I consent",18 - 20,Male,Netaji Subhash Engineering College ,B Tech.,"Mathematics, Computer Organisation, Analog Digital, Python, Economics ",90 - 100,Yes,"Mathematics = 95 , Chemistry = 96",80 - 90,"Physics= 100 , Mathematics= 94",Not any specification as such ,4,4,7,Software engineer ,IT sector,Yes,5-6,30,1,below 3 Lakhs,Service ,Graduation ,No assumption ,5,3,3,5,4,4,3
"Yes, I consent",22 - 25,Male,Institute of Business Management ,MBA,MBA Finance ,80 - 90,NA,Biological Science- 95,50 - 60,Biology- 75,To get a good job in corporate sector.,4,4,0,Entrepreneurship,Public sector,No,Depend on my Performance ( Aprox 7-8 LPA),After 30,1,3 -  7  Lakhs,Retired Govt. Employee ,M.sc.,4 lakhs,5,5,5,1,2,5,5
"Yes, I consent",18 - 20,Female,Kusum devi sunderlal dugar jain college ,BDS,Medical ,90 - 100,Dance,Biology - 94,80 - 90,Biology - 80,My family ,5,4,0,Doctor ,Public ,Maybe,4.2,27,2,3 -  7  Lakhs,Business ,Graduation ,10-20 ,5,4,4,3,5,5,5
"Yes, I consent",20 - 22,Male,Vijaygarh Jyotish Ray College,MSc / MS,Microbiology,90 - 100,Event Management & Speaker,Science - 93,80 - 90,Chemistry - 75,The past pandemic of COVID-19,4,4,8,Professor,Education,No,10,28,1,3 -  7  Lakhs,Business,Graduation,3-4 lakhs,1,1,4,2,1,4,4
"Yes, I consent",18 - 20,Female,THK JAIN,B.Sc / BS,Microbiology,90 - 100,,Biology-100,90 - 100,Psychology- 100,The promise of a wide scope of future possibilities,4,3,8,Forensic microbiologist,Public sector,Yes,2 LPA,24-25,3,7 - 10 Lakhs,Sales Manager,B.Com graduate,1-2 Lakhs,5,1,5,4,2,5,5
"Yes, I consent",18 - 20,Male,St. Paul's Cathedral Mission College,B.Sc / BS,Microbiology,80 - 90,Football,Mathematics-96,90 - 100,Math-85,Microbes,4,3,6,Microbiologist,Govt. Sector,No,6 lakh,24,1,3 -  7  Lakhs,Service,Graduate,1 lakh,1,1,2,5,1,3,4
"Yes, I consent",20 - 22,Male,Gurudas College,B.Sc / BS,Microbiology ,80 - 90,,History-82,70 - 80,Biology-80,My motivation was to bring positive disruption and opent the doors of research and innovation  in the realm of bioscience and microbiology ,5,5,6,Microbiologist ,Public sector ,No,3-4 lakhs ,40,One,below 3 Lakhs,Businessman ,B.Com,20 lakh ,5,1,5,5,5,5,5
"Yes, I consent",18 - 20,Female,Gurudas college ,B.Sc / BS,Microbiology ,80 - 90,"Yes, drawing",Biology-90,80 - 90,Biology-86,Learning about microbes and their effect on various significant field sound Prosperous to me. So I choose microbiology ,5,3,0,Scientist,Public sector,Yes,6,Beyond 30 or 35,2,3 -  7  Lakhs,Physiotherapist ,Graduate,1lakh,5,1,3,1,5,4,5
"Yes, I consent",18 - 20,Female,Tara Devi Harakh Chand Kankaria Jain College,B.Sc / BS / BCA,Microbiology ,80 - 90,Karate,Biology - 97,80 - 90,Biology - 90,"
I am drawn to Microbiology's interdisciplinary nature, combining biology, chemistry, and medicine to address global challenges.",4,3,6,Professor ,Public Sector,No,3,26,4,3 -  7  Lakhs,Mother: CA.   Father: Financial Controller ,Mother: Post Graduate Father: Graduate ,No idea,2,1,5,1,1,4,5
"Yes, I consent",18 - 20,Male,Govt. College of Engineering and Leather Technology,B Tech.,N/A,90 - 100,"Painting, Debate, Recitation, Athletics",Mathematics - 97,80 - 90,Mathematics - 93,Inclination towards the evolving tech,3,3,0,Software Engineer,IT sector,No,7,25,1,3 -  7  Lakhs,Ex Servicemen,Higher Secondary,5,3,2,3,4,2,2,4
"Yes, I consent",22 - 25,Female,Institute of Business Management,MBA,NA,90 - 100,"Dance, Music",English- 98,80 - 90,Biology- 84,Leadership position,5,4,0,Entrepreneurship,Private,No,10,27,1,7 - 10 Lakhs,NA,NA,20-25,2,2,1,3,3,5,5
"Yes, I consent",18 - 20,Male,TECHNO INTERNATIONAL NEW TOWN ,B Tech.,Nothing ,90 - 100,No,Physics ,70 - 80,Physics ,Coding,3,3,1,Artificial intelligence ,Private sector ,Maybe,4lpa,23,1,3 -  7  Lakhs,Business man,Graduation ,20 lakhs,4,3,4,5,3,3,2
"Yes, I consent",22 - 25,Male,ADAMAS UNIVERSITY ,B.Sc / BS / BCA,PHARMACOLOGY ,80 - 90,KARATE,MATHEMATICS - 92,80 - 90,BIOLOGY ,MEDICAL FIELD ,4,4,9,Pharmacist ,PUBLIC SECTOR ,No,10-12,26,2,7 - 10 Lakhs,SERVICE ,CLASS 12,15 Lakhs,4,2,5,3,4,5,5
"Yes, I consent",20 - 22,Male,"St. Xavier's College, Kolkata ",B.Sc / BS,Physics,90 - 100,Classical Music ( Singing),Geography-100,90 - 100,Mathematics - 100,To pursue research in future in quantum mechanics.,4,4,8,Researcher or professor,Public sector,Maybe,No idea,30,1,3 -  7  Lakhs,LIC Agent,M.A,0.5 lac per annum.,3,2,4,4,1,3,5
"Yes, I consent",20 - 22,Male,Scottish Church College ,B.Sc / BS,Physics,90 - 100,"Music, Combat Sports.",Physics - 88,80 - 90,Physics - 93,I want to know the universe fundamentally and contribute to the overall knowledge of humanity.,5,4,8,Research Scientist,Academia,No,5-6 lakhs per annum ,30,3,3 -  7  Lakhs,Serviceman,B.com,1.5 lakh,2,1,3,4,1,3,5
"Yes, I consent",20 - 22,Male,IPGME&R,BPT,PHYSIOTHERAPY,90 - 100,sports,life science- 97,90 - 100,physics-85,future options,4,4,9,business,public,No,20,28,1,3 -  7  Lakhs,teacher,graduation,20,5,1,5,1,1,5,5
"Yes, I consent",18 - 20,Female,Sister Nivedita University ,BA,Political science ,90 - 100,Not right now ,Socialscience -94,80 - 90,Politicalscience -87,Politics ,5,4,7,Entrepreneurship ,Private sector ,Yes,2 lakhs,21 to 25,1,3 -  7  Lakhs,Business ,Higher secondary ,Taken loan from bank,4,5,5,5,5,5,4
"Yes, I consent",18 - 20,Female,Gokhale memorial girls college ,BA,Political science ,70 - 80,Singing ,Science ,60-70,English ,For the welfare of the country ,4,1,6,Entrepreneurship ,Public sector ,Yes,50000,21,1,below 3 Lakhs,Business ,Graduate,0.5 lakhs,4,1,1,1,2,1,3
"Yes, I consent",20 - 22,Male,Jadavpur University ,B Tech.,Printing Engineering ,90 - 100,"Yes founder of PITS JU, Core Member of Finclub Ju ",Maths -99,80 - 90,Maths -98,Placement was good ,4,4,8,Engineering ,"IT, Consulting ",No,20,25,1,7 - 10 Lakhs,Service ,MBA ,10,1,3,3,3,3,3,4
"Yes, I consent",18 - 20,Female,St Xavier's University,BA,Psychology,80 - 90,Fashion walk,Maths - 82,80 - 90,"Psychology - 94, Bengali - 93",I was always fascinated by psychology and it's counterparts ,4,3,7,Psychologist,Private sector ,No,800000,23-24,3,10 - 12 Lakhs,Father- Businessman ,MA,More then 1 lakh ,3,2,2,1,2,3,4
"Yes, I consent",20 - 22,Female,SNU,MSc / MS,Psychology ,60-70,No,Maths - 60,60-70,Accounts - 65,Wanted to know why people behave in certain way in certain situations ,3,3,7,Clinical psychologist ,Hospital ,Maybe,"50,000",27,1,3 -  7  Lakhs,Business ,B.ed,10lakhs,3,1,1,4,3,1,5
"Yes, I consent",18 - 20,Female,At Xaviers University Kolkata,BA,Psychology Hons ,80 - 90,"Dance , writing ",History -94  English - 96,90 - 100,History -96 Psychology-94  Political Science -94,Psychology is dynamic and involves essences from almost all fields of study .,4,3,7,HR,Private Sector ,No,800000,25,2,10 - 12 Lakhs,Mother - Professor Father - Banker ,PhD ,More than a lakh ,3,1,1,2,1,3,5
"Yes, I consent",20 - 22,Male,Surendranath college ,B.Sc / BS / BCA,Statistical science ,90 - 100,Some Times ,Mathematics -97,90 - 100,Mathematics 97,Best honours subject which most usable in current time ,5,3,6,Data scientist ,Public sector ,Yes,12-15,26,1,below 3 Lakhs,Nothing ,Did not go to school ,1 lakh ,1,5,5,1,2,5,5
"Yes, I consent",18 - 20,Female,Asutosh college,B.Sc / BS,Statistics,80 - 90,Dance,"Mathematics 98 , history- 78",80 - 90,Mathematics - 86 statistics-92,Not sure,3,1,6,Msc in statistics,Banking,Maybe,8lakh,25,2,3 -  7  Lakhs,Business,Graduate,Maybe 2-3 lakhs ,5,2,4,3,1,4,4
"Yes, I consent",20 - 22,Male,Sister Nivedita University,B.Sc / BS,Statistics,90 - 100,Football Volleyball Karate,Mathematics - 98 Science - 95,90 - 100,"Mathematics - 95, Economics - 94",Fond of mathematical processes statistical analysis,4,3,9,"Data Scientist, Sports Analyst",Private Sector,No,15,25,3,7 - 10 Lakhs,Business man,MA.,6,1,4,5,4,2,4,5
"Yes, I consent",20 - 22,Male,Maulana Azad College,B.Sc / BS,Statistics,90 - 100,,Mathematics-97,90 - 100,Mathematics-99,Love and interest for the subject,4,3,8,Data scientist,Public Sector,No,9,28,2,7 - 10 Lakhs,Private Sector,Masters,Min.,4,4,4,4,4,4,4
"Yes, I consent",20 - 22,Male,Surendranath college ,MSc / MS,Statistics,70 - 80,No,Mathematics-90 Physical Science-78 ,80 - 90,Mathematics-84 computer -97 English-90,I want to learn and explore Statistics and excited to use it in real life ,5,5,8,Job,Public sector ,Yes,15,26,1,below 3 Lakhs,Private farm job,Cs,0.5,5,1,1,4,3,5,5
"Yes, I consent",20 - 22,Female,Asutosh College,B.Sc / BS / BCA,Statistics,90 - 100,Dance,Mathematics-100,90 - 100,Mathematics-96,love and passion for numbers,4,1,8,"Statistician, statistics related fields",Private,No,8-9lpa,24,3,10 - 12 Lakhs,Business,Graduate,2lpa,4,1,2,1,1,3,5
"Yes, I consent",18 - 20,Female,Sister Nivedita University,B.Sc / BS / BCA,Statistics,80 - 90,Painting,English- 95,80 - 90,Maths-86,I was interested in data analytics,4,3,0,data scientist,private sector,Yes,60-70 lakhs,23,1,3 -  7  Lakhs,Business,Graduation,10 lakhs,5,4,2,1,4,5,5
"Yes, I consent",20 - 22,Male,Vivekananda College,B.Sc / BS / BCA,Statistics,90 - 100,,Mathematics - 88,80 - 90,Mathematics: 80,Data Analysis,3,3,6,Data Analyst,Sports Sector,No,4-5,30,1,7 - 10 Lakhs,Eye Doctor,MSC ,10,4,2,1,1,1,3,3
"Yes, I consent",18 - 20,Female,Sister Nibedita Government General Degree College for Girls,B.Sc / BS / BCA,Statistics,80 - 90,No,Mathematics- 86,80 - 90,Mathematics- 91,Good career,4,3,6,Banker,Public,No,60k,24-25,2,10 - 12 Lakhs,Business,Graduate,2lakhs,1,2,4,1,1,5,5
"Yes, I consent",18 - 20,Female,Asutosh College,B.Sc / BS / BCA,Statistics,90 - 100,Painting,Maths-90+,80 - 90,Maths-80+,Wide range of career choices and interest in subject,4,3,7,Data Analyst,Private,Maybe,Haven't thought about it,25,1,3 -  7  Lakhs,Business,12th pass,Depends,3,1,2,1,4,5,4
"Yes, I consent",20 - 22,Male,Sister Nivedita University ,B.Sc / BS,Statistics ,80 - 90,"Yes , working in and NGO",Maths 95%,80 - 90,Maths 86%,My teacher ,1,1,7,Data Analyst ,It Sector ,Yes,6lpa,26,2,12 - 15 Lakhs,Family Business ,Graduate ,10-20,1,2,5,4,5,1,1
"Yes, I consent",20 - 22,Female,Sister Nivedita University ,B.Sc / BS,Statistics ,80 - 90,Dance ,Mathematics- 91,80 - 90,Mathematics-85,Related to mathematics ,4,3,6,Data analyst ,It,Maybe,5-6,29,3,3 -  7  Lakhs,Business ,M.A,5-6,5,1,5,3,2,4,4
"Yes, I consent",20 - 22,Female,Maulana Azad College ,B.Sc / BS,Statistics ,90 - 100,Art,Mathematics - 92,90 - 100,Mathematics - 97,Job opportunities ,5,2,7,Data Analyst ,Public sector ,Maybe,10 LPA,25,1,3 -  7  Lakhs,Service man,Graduate ,Ambiguous question ,5,1,5,1,1,5,5
"Yes, I consent",20 - 22,Male,Maulana Azad College ,B.Sc / BS,Statistics ,90 - 100,Nil ,Mathematics -96,90 - 100,"Mathematics -95, Biology- 96","It opens up a huge scope in the field of study. Knowing new things, analysis of data is my point of interest. And also, salary is higher wrt many other subjects. ",5,3,7,Job in MNC ,Private sector. ,No,24 lpa,29,3,7 - 10 Lakhs,Business owner ,Msc in Economics ,(10 Lakhs atmost till I get a job I guess)The required amount. Non specific. ,5,1,2,1,1,5,5
"Yes, I consent",20 - 22,Female,Surendranath college ,B.Sc / BS,Statistics ,90 - 100,Gaming ,Mathematics ,90 - 100,Mathematics ,The pandemic era made me want to pursue Biostatistics in future for obvious reasons,4,3,8,A data analyst,IT sector ,Maybe,3-4 lpa(with basic skills),30,4,below 3 Lakhs,Widower and a house wife,BA Graduate,2.5 lakhs per year,3,3,4,4,4,4,5
"Yes, I consent",20 - 22,Male,Maulana Azad College,B.Sc / BS,Statistics ,90 - 100,Recitation ,Mathematics-95,90 - 100,Statistics-95,I liked Statistics so much in XI-XII and that's why I decided to go further with Statistics. ,5,4,9,Teacher ,Public sector,Maybe,7.5,30,1,below 3 Lakhs,Businessman ,B.Com,2 lakhs,4,4,5,2,1,4,4
"Yes, I consent",20 - 22,Male,Sister Nivedita University ,B.Sc / BS / BCA,Statistics ,80 - 90,Quiz,Marks-95,70 - 80,Maths-92,Same interest ,3,3,6,Analysts ,Private sector ,No,4-5,35,2,3 -  7  Lakhs,Private sector ,B.sc,2l,4,3,2,4,5,3,3
"Yes, I consent",20 - 22,Female,Sister Nivedita University ,B.Sc / BS / BCA,Statistics ,80 - 90,Playing instrument (specifically guitar) and drawing.,Geography - 92,80 - 90,Geography - 89,Better scope,5,4,8,Not decided yet,IT sector ,Maybe,11,26-28,1,7 - 10 Lakhs,Father works at cesc and mother housewife.,Masters,Above 10 lakhs,4,3,3,3,3,4,4
"Yes, I consent",18 - 20,Female,SISTER NIVEDITA UNIVERSITY ,B.Sc / BS / BCA,STATISTICS ,80 - 90,No,"ENGLISH -93, AI- 92",70 - 80,ENGLISH-90,I've always had an interest in finance and business. Choosing stats might help in persuing financial analysis ,4,3,0,Entrepreneurship ,PUBLIC ,Yes,10-12,25-26,2,3 -  7  Lakhs,Father- service mother - teacher,POST GRADUATION ,5-10,3,1,1,1,2,5,4
"Yes, I consent",20 - 22,Male,RKMRC,B.Sc / BS / BCA,Statistics ,80 - 90,Photography ,Mathematics - 98,90 - 100,Statistics - 100,Money,3,5,9,Clinical trials,Private ,Yes,15,28,4,12 - 15 Lakhs,Professor ,PHD ,20,5,3,3,3,3,4,3
"Yes, I consent",20 - 22,Male,Vivekananda College ,B.Sc / BS / BCA,Statistics ,90 - 100,Singing ,History - 99,90 - 100,Mathematics - 96,"Upcoming need of application of mathematical and statistical techniques to solve real life problems, in different sectors of the society ",2,3,7,Any Statistician related role,linked with Health sector,No,12-15 ,25,1,15 Lakhs above,Accountant in CLW,B.Com,10,3,3,4,2,2,4,4
"Yes, I consent",18 - 20,Female,Surendranath college ,B.Sc / BS / BCA,Statistics ,80 - 90,Yes,Mathematics -97,90 - 100,English - 96,Love for the subject ,5,5,7,Data analysis ,II sector or government sector ,Maybe,Minimum 12 lakh,25,1,3 -  7  Lakhs,Private tutor and agent,Graduate ,1.5 lakh,5,4,5,5,5,5,5
"Yes, I consent",20 - 22,Male,RKMRC Narendrapur,B.Sc / BS / BCA,Statistics ,90 - 100,Playing sitar,Mathematics - 96,90 - 100,Mathematics - 95,Interested in the subject + good pay jobs,5,4,10,Statistician,Academics,No,17,28,1,7 - 10 Lakhs,Service,Graduate,4,4,1,3,2,1,4,5
"Yes, I consent",18 - 20,Female,St Xavier's College,B.Sc / BS / BCA,Statistics ,90 - 100,"Yes, playing guitar ",Maths-100 geog-98,90 - 100,Stats-100,Teachers let me know abt the scope in this field,5,3,9,Data scientist ,IT,No,8,25,3,12 - 15 Lakhs,Business,Graduate,8,5,3,5,3,2,4,4
"Yes, I consent",18 - 20,Female,Sister Nivedita University ,B.Sc / BS / BCA,Statistics Honours ,90 - 100,"Yes , Dance ","Mathematics - 95, Computer Science - 93",80 - 90,"Mathematics -90, Computer - 90",My eagerness to learn more about the section-c part (which is actually the Statistics part )of ML Agarwal's maths book ,5,4,0,Data scientist,Private or else IT sector ,No,2.4 lakh per annum ,25,1,below 3 Lakhs,Business ,Graduates ,5 lakhs ,3,1,2,5,5,4,5
"Yes, I consent",18 - 20,Female,Sister Nivedita University ,B.Sc / BS / BCA,Statistics Hons,80 - 90,,"Mathematics - 85, Science - 86",70 - 80,"Mathematics - 70, Economic - 80",I was too interested to know more about the subject ,5,3,0,Analytical Consultant ,Private sector ,No,4 Lakhs (maybe),30,1,3 -  7  Lakhs,Employee in a private sector,MA - Modern history ,4 Lakhs,5,4,5,3,3,4,5
"Yes, I consent",18 - 20,Female,Asutosh College ,B.Sc / BS / BCA,Statistics hons ( BSC ) ,80 - 90,No,Lifescience-85,80 - 90,English-91,Current trends ,2,2,6,Data scientist ,It sector ,Yes,Don't have any idea ,24,1,3 -  7  Lakhs,Job ,Graduation ,1 lakh ,3,2,2,3,2,2,2
"Yes, I consent",18 - 20,Male,Surendranath College ,B.Sc / BS,Statistics Hons.,80 - 90,,Mathematics-95,80 - 90,Mathematics - 85,Money,4,4,6,"Consultant, Analyst","Corporate Sector, Financial Sector, Actuarial Consultancy ",No,6-10,30,6,10 - 12 Lakhs,Teacher ,M.A.,3,1,2,4,5,3,4,5
"Yes, I consent",18 - 20,Male,Indian Association for the Cultivation of Science ,Integrated BS-MS,undecided ,90 - 100,Badminton,Science - 96,90 - 100,Physics - 86,Lack of research culture among Indian students ,5,4,0,Cosmologist ,Academia,No,Depends on the institute and country I am in,30,1,12 - 15 Lakhs,Service ,Bachelors,20,1,1,5,1,1,5,5
